geoid,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
60855001001,500100,1,1809,355,180,38,37,252,1217,131857,0,0,,
60855001002,500100,2,824,244,147,85,83,206,415,119419,0,0,,
60855001003,500100,3,2006,495,347,235,0,308,1539,-666666666,0,0,,
60855001004,500100,4,3646,501,255,877,472,1345,1063,215893,0,0,,
60855002001,500200,1,887,64,88,434,25,139,204,86850,0,0,,
60855002002,500200,2,1160,0,44,210,107,13,739,-666666666,0,0,,
60855002003,500200,3,1107,205,108,419,195,115,317,101827,0,0,,
60855002004,500200,4,2285,378,103,682,170,781,424,157101,0,0,,
60855003001,500300,1,2518,347,221,711,342,513,847,178750,0,0,,
60855003002,500300,2,1677,85,229,1025,53,191,401,104405,0,0,,
60855004001,500400,1,1550,317,126,597,166,102,618,154698,0,0,,
60855004002,500400,2,1128,188,192,504,15,290,356,133458,0,0,,
60855005001,500500,1,1141,189,86,649,9,155,155,250001,0,0,,
60855005002,500500,2,1629,323,259,838,0,188,618,135639,0,0,,
60855005003,500500,3,568,34,115,349,2,115,94,111292,0,0,,
60855005004,500500,4,830,153,111,642,0,111,13,250001,0,0,,
60855005005,500500,5,1017,78,316,564,16,250,134,155441,0,0,,
60855006001,500600,1,983,368,101,518,11,29,398,250001,0,0,,
60855006002,500600,2,699,84,121,370,12,218,85,250001,0,0,,
60855006003,500600,3,2674,571,126,378,213,822,1098,130644,0,0,,
60855006004,500600,4,1392,257,261,330,0,231,821,79570,0,0,,
60855008001,500800,1,1869,189,121,403,255,488,639,114643,0,0,,
60855008002,500800,2,1773,67,99,706,150,573,207,185185,0,0,,
60855008003,500800,3,1192,20,196,551,0,257,415,151885,0,0,,
60855009011,500901,1,1243,0,255,331,17,560,279,-666666666,0,0,,
60855009012,500901,2,1603,43,258,735,60,597,130,162284,0,0,,
60855009013,500901,3,1452,214,0,210,383,629,171,51563,0,0,,
60855009021,500902,1,1132,131,12,187,45,463,435,36402,0,0,,
60855009022,500902,2,4245,182,12,1023,412,1705,1078,56146,0,0,,
60855010001,501000,1,824,135,0,163,80,53,505,58627,0,0,,
60855010002,501000,2,985,100,109,148,0,241,558,81087,0,0,,
60855010003,501000,3,977,21,426,291,51,417,185,33410,0,0,,
60855010004,501000,4,1327,64,125,630,138,202,345,75417,0,0,,
60855010005,501000,5,815,332,54,286,0,12,502,92109,0,0,,
60855011011,501101,1,1631,117,261,419,71,316,629,80132,0,0,,
60855011012,501101,2,2298,192,370,460,143,681,814,106378,0,0,,
60855011021,501102,1,1797,447,122,275,39,182,1176,220777,0,0,,
60855011022,501102,2,1416,378,101,211,0,320,885,117685,0,0,,
60855011023,501102,3,1060,86,216,343,8,72,670,130234,0,0,,
60855012001,501200,1,637,157,157,134,2,144,395,-666666666,0,0,,
60855012002,501200,2,1152,178,63,293,38,198,624,137031,0,0,,
60855012003,501200,3,1097,124,114,211,98,111,628,109457,0,0,,
60855012004,501200,4,1277,150,44,693,0,211,469,118333,0,0,,
60855013001,501300,1,1585,140,147,608,55,342,665,106689,0,0,,
60855013002,501300,2,1196,90,201,902,27,108,283,49318,0,0,,
60855013003,501300,3,1151,137,176,634,117,247,162,250001,0,0,,
60855014011,501401,1,1723,504,205,263,74,268,1122,62355,0,0,,
60855014012,501401,2,1179,283,289,279,10,109,774,104688,0,0,,
60855014021,501402,1,1564,268,376,579,18,237,717,91638,0,0,,
60855014022,501402,2,1139,146,142,299,11,98,737,101607,0,0,,
60855015011,501501,1,2882,706,465,177,0,1185,1403,81571,0,0,,
60855015012,501501,2,1521,355,124,215,88,278,963,82917,0,0,,
60855015021,501502,1,1899,391,316,620,0,24,1167,78750,0,0,,
60855015022,501502,2,711,155,143,0,7,127,472,52375,0,0,,
60855015023,501502,3,1740,290,53,348,0,615,826,225313,0,0,,
60855016011,501601,1,1946,121,130,673,10,376,830,120630,0,0,,
60855016012,501601,2,1612,244,188,564,17,193,833,125227,0,0,,
60855016021,501602,1,612,198,0,87,36,34,479,-666666666,0,0,,
60855016022,501602,2,705,55,77,210,33,66,367,82875,0,0,,
60855016023,501602,3,1594,102,204,517,51,246,670,70096,0,0,,
60855017001,501700,1,910,176,19,163,64,177,425,137560,0,0,,
60855017002,501700,2,644,131,110,42,0,26,541,94167,0,0,,
60855017003,501700,3,1603,560,34,187,21,69,1392,73125,0,0,,
60855017004,501700,4,1714,291,124,596,6,1,1454,101563,0,0,,
60855018001,501800,1,783,87,213,236,0,40,496,-666666666,0,0,,
60855018002,501800,2,1664,400,166,446,11,241,1093,106212,0,0,,
60855018003,501800,3,824,164,77,600,0,53,340,187019,0,0,,
60855018004,501800,4,1515,406,209,913,49,164,480,226083,0,0,,
60855019011,501901,1,3126,326,368,993,431,1055,684,147727,0,0,,
60855019021,501902,1,2264,349,28,638,79,682,884,169531,0,0,,
60855019022,501902,2,1355,114,110,459,27,309,496,102292,0,0,,
60855020011,502001,1,1336,506,67,144,0,159,668,63240,0,0,,
60855020012,502001,2,759,97,177,319,0,137,284,81530,0,0,,
60855020013,502001,3,1368,428,134,839,33,308,318,206157,0,0,,
60855020014,502001,4,1493,277,208,395,76,124,1010,94185,0,0,,
60855020021,502002,1,658,193,97,89,0,95,511,68967,0,0,,
60855020022,502002,2,1565,283,61,405,109,119,1054,114500,0,0,,
60855020023,502002,3,2762,713,149,708,32,372,1568,130221,0,0,,
60855021011,502101,1,1340,264,83,586,0,376,245,200565,0,0,,
60855021012,502101,2,987,194,184,477,0,257,209,160268,0,0,,
60855021013,502101,3,3034,477,958,1359,137,769,671,119375,0,0,,
