business_id,name,address,city,postal_code,lat,lon,tract_geoid,median_household_income,poverty_rate_pct,access_class,access_score
PR0300002,LUCKY LIQUORS,63 S ABBOTT AV,Milpitas,95035,37.427288,-121.913619,06085504507,163724,6.4,underserved,7
PR0300004,7-ELEVEN #14240E,15 S ABBOTT AV,Milpitas,95035,37.428028,-121.91407,06085504507,163724,6.4,underserved,7
PR0300005,GREAT INDIAN CUISINE,2026 AGNEW RD,Santa Clara,95054,37.3942023,-121.9597311999,06085505010,202663,9.9,underserved,7
PR0300006,BOB'S DISCOUNT LIQUORS #9,2036 AGNEW RD,Santa Clara,95054,37.394078,-121.960308,06085505010,202663,9.9,underserved,7
PR0300007,DENNY'S,814 E AHWANEE AV,Sunnyvale,94086,37.396304,-122.028118,06085509001,162981,7.6,underserved,6
PR0300010,GREENLEE'S BAKERY,1081 THE ALAMEDA,San Jose,95126,37.331668,-121.911064,06085500600,140045,9.0,underserved,8
PR0300011,ROSIE'S NEW YORK PIZZA,1285 THE ALAMEDA,San Jose,95126,37.3320299,-121.9126904,06085500600,140045,9.0,underserved,8
PR0300012,LUNA MEXICAN RESTAURANT,1495 THE ALAMEDA AV,San Jose,95126,37.3339488,-121.9152935,06085500600,140045,9.0,underserved,8
PR0300013,MEDALLO RESTAURANT,1860 THE ALAMEDA ST,San Jose,95126,37.3404839,-121.92169,06085500400,152973,2.4,underserved,7
PR0300014,BILL'S CAFE,2089 THE ALAMEDA,San Jose,95126,37.343016,-121.928426,06085505203,139028,27.8,underserved,8
PR0300015,Taco Bell - 24783,2555 THE ALAMEDA,Santa Clara,95050,37.3452,-121.93561,06085505203,139028,27.8,underserved,8
PR0300017,SAFEWAY #763,2605 THE ALAMEDA,Santa Clara,95050,37.3459467,-121.9365362,06085505203,139028,27.8,underserved,8
PR0300018,ROUND TABLE PIZZA #1342,2615 THE ALAMEDA,Santa Clara,95050,37.345319,-121.936357,06085505203,139028,27.8,underserved,8
PR0300020,THE HUT,3200 THE ALAMEDA,Santa Clara,95050,37.351469,-121.940329,06085505600,140263,20.1,underserved,8
PR0300021,PALO ALTO HILLS GOLF & COUNTRY CLUB,3000 ALEXIS DR,Palo Alto,34304,37.371047,-122.174502,06085511707,203068,5.9,underserved,7
PR0300023,SENIOR CENTER KITCHEN,19655 ALLENDALE AV,Saratoga,95070,37.2666753,-122.0160272,06085507301,244207,5.4,moderate,3
PR0300024,CARNITAS EL RINCON,148 W ALMA AV,San Jose,95110,37.314189,-121.876456,06085503121,92607,13.3,highly_underserved,9
PR0300025,PAGODA HOUSE,148 W ALMA AV A,San Jose,95110,37.314189,-121.876456,06085503121,92607,13.3,highly_underserved,9
PR0300028,SAN JOSE ELKS LODGE #522 - KITCHEN & BAR,444 W ALMA AV,San Jose,95110,37.308691,-121.883741,06085502400,222311,6.8,moderate,3
