geoid_x,name,total_population,under_18_population,age_65_plus_population,asian_alone_population,black_alone_population,hispanic_or_latino_population,white_alone_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct,tract,block_group,pct_under_18,pct_65_plus,pct_hispanic,pct_asian,tract_geoid,geoid_y,food_biz_count,food_biz_per_1k,access_score,access_class,tract_lat,tract_lon
060855001001,Block Group 1; Census Tract 5001; Santa Clara County; California,1809,355,180,252,37,1217,38,131857,0,0,,,500100,1,19.6,10.0,67.3,13.9,06085500100,06085500100,36,4.35,6,underserved,37.3584847,-121.8927601
060855001002,Block Group 2; Census Tract 5001; Santa Clara County; California,824,244,147,206,83,415,85,119419,0,0,,,500100,2,29.6,17.8,50.4,25.0,06085500100,06085500100,36,4.35,6,underserved,37.3584847,-121.8927601
060855001003,Block Group 3; Census Tract 5001; Santa Clara County; California,2006,495,347,308,0,1539,235,-666666666,0,0,,,500100,3,24.7,17.3,76.7,15.4,06085500100,06085500100,36,4.35,6,underserved,37.3584847,-121.8927601
060855001004,Block Group 4; Census Tract 5001; Santa Clara County; California,3646,501,255,1345,472,1063,877,215893,0,0,,,500100,4,13.7,7.0,29.2,36.9,06085500100,06085500100,36,4.35,6,underserved,37.3584847,-121.8927601
060855002001,Block Group 1; Census Tract 5002; Santa Clara County; California,887,64,88,139,25,204,434,86850,0,0,,,500200,1,7.2,9.9,23.0,15.7,06085500200,06085500200,20,3.68,10,highly_underserved,37.3499085,-121.9021695
060855002002,Block Group 2; Census Tract 5002; Santa Clara County; California,1160,0,44,13,107,739,210,-666666666,0,0,,,500200,2,0.0,3.8,63.7,1.1,06085500200,06085500200,20,3.68,10,highly_underserved,37.3499085,-121.9021695
060855002003,Block Group 3; Census Tract 5002; Santa Clara County; California,1107,205,108,115,195,317,419,101827,0,0,,,500200,3,18.5,9.8,28.6,10.4,06085500200,06085500200,20,3.68,10,highly_underserved,37.3499085,-121.9021695
060855002004,Block Group 4; Census Tract 5002; Santa Clara County; California,2285,378,103,781,170,424,682,157101,0,0,,,500200,4,16.5,4.5,18.6,34.2,06085500200,06085500200,20,3.68,10,highly_underserved,37.3499085,-121.9021695
060855003001,Block Group 1; Census Tract 5003; Santa Clara County; California,2518,347,221,513,342,847,711,178750,0,0,,,500300,1,13.8,8.8,33.6,20.4,06085500300,06085500300,96,22.88,7,underserved,37.3395959,-121.9080736
060855003002,Block Group 2; Census Tract 5003; Santa Clara County; California,1677,85,229,191,53,401,1025,104405,0,0,,,500300,2,5.1,13.7,23.9,11.4,06085500300,06085500300,96,22.88,7,underserved,37.3395959,-121.9080736
060855004001,Block Group 1; Census Tract 5004; Santa Clara County; California,1550,317,126,102,166,618,597,154698,0,0,,,500400,1,20.5,8.1,39.9,6.6,06085500400,06085500400,6,2.24,7,underserved,37.3401522,-121.9220248
