geoid,centroid_lat,centroid_lon,area_sq_mi,total_population,under_18_population,age_65_plus_population,pct_under_18,pct_65_plus,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,pct_white,pct_black,pct_asian,pct_hispanic,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct,is_low_income,food_biz_count,unique_biz_names,biz_per_1k_pop,biz_per_sq_mi,is_low_access,is_food_desert,is_severe,classification
06085503111,37.32254947510844,-121.83978928593356,0.554,5418,1425,839,26.3,15.5,200,0,181,3,3.7,0.0,3.3,0.1,133628,1123,14,1.25,7.0,False,3,3,0.55,5.42,True,False,False,low_access_only
06085503112,37.32232693818434,-121.87100443954024,0.695,3978,671,497,16.9,12.5,784,0,557,33,19.7,0.0,14.0,0.8,76156,1521,242,15.91,21.7,True,22,22,5.53,31.65,False,False,False,low_income_only
06085506302,37.30887007884863,-121.95686597800183,1.232,6357,1123,828,17.7,13.0,2693,111,1826,149,42.4,1.7,28.7,2.3,182908,2734,121,4.43,3.9,False,14,14,2.2,11.36,True,False,False,low_access_only
06085511200,37.45119333984751,-122.147019968235,1.264,4765,1115,763,23.4,16.0,2838,16,2321,33,59.6,0.3,48.7,0.7,250001,1728,32,1.85,2.6,False,2,2,0.42,1.58,True,False,False,low_access_only
06085509801,37.38412370177313,-122.09325423701002,1.033,5969,1370,699,23.0,11.7,2869,0,2279,11,48.1,0.0,38.2,0.2,167957,2531,246,9.72,1.5,False,27,26,4.52,26.14,False,False,False,adequate
06085512401,37.06184695816855,-121.60695788390287,25.132,3961,734,929,18.5,23.5,1870,0,1386,98,47.2,0.0,35.0,2.5,197540,1309,23,1.76,12.3,False,10,10,2.52,0.4,True,False,False,low_access_only
06085511911,37.19847107719514,-121.81008144433189,23.277,4601,724,1046,15.7,22.7,2673,0,1925,121,58.1,0.0,41.8,2.6,167639,1973,29,1.47,7.0,False,7,7,1.52,0.3,True,False,False,low_access_only
06085506801,37.242264289581236,-121.95636118512101,1.765,6216,1619,1106,26.0,17.8,3964,0,3127,0,63.8,0.0,50.3,0.0,250001,2226,28,1.26,3.6,False,27,27,4.34,15.3,False,False,False,adequate
06085507600,37.271257703809326,-122.05268180833241,8.474,6144,1236,1382,20.1,22.5,1869,0,1318,0,30.4,0.0,21.5,0.0,250001,2078,19,0.91,3.7,False,3,3,0.49,0.35,True,False,False,low_access_only
06085505202,37.370294394804475,-121.96066952226637,5.612,8273,1303,778,15.8,9.4,1936,13,1400,1,23.4,0.2,16.9,0.0,164928,3808,323,8.48,19.1,False,111,110,13.42,19.78,False,False,False,adequate
06085512035,37.22360945954074,-121.76144942072771,1.394,4519,1253,716,27.7,15.8,1274,0,860,138,28.2,0.0,19.0,3.1,198632,1324,79,5.97,2.3,False,0,0,0.0,0.0,True,False,False,low_access_only
06085511913,37.22750284575591,-121.89121832239795,1.174,4282,1102,760,25.7,17.7,2739,0,2261,1,64.0,0.0,52.8,0.0,250001,1432,0,0.0,0.6,False,10,10,2.34,8.52,True,False,False,low_access_only
06085502500,37.293192677239084,-121.89283956963801,1.526,6748,1604,962,23.8,14.3,3883,0,3061,66,57.5,0.0,45.4,1.0,225694,2479,17,0.69,4.6,False,14,14,2.07,9.17,True,False,False,low_access_only
06085506502,37.27855147991059,-121.94791196306248,1.877,5040,1082,430,21.5,8.5,3209,0,2375,18,63.7,0.0,47.1,0.4,143500,2224,39,1.75,5.0,False,63,62,12.5,33.56,False,False,False,adequate
06085507206,37.24365266811933,-121.98556074085042,1.976,2826,636,738,22.5,26.1,1893,0,1249,0,67.0,0.0,44.2,0.0,250001,938,0,0.0,1.1,False,2,2,0.71,1.01,True,False,False,low_access_only
06085504308,37.41188624571789,-121.82017274294294,11.411,4898,889,920,18.2,18.8,1108,0,537,0,22.6,0.0,11.0,0.0,212941,1480,74,5.0,8.0,False,7,7,1.43,0.61,True,False,False,low_access_only
06085504202,37.37646113089802,-121.7923216150411,9.498,4151,623,917,15.0,22.1,1268,0,1000,85,30.5,0.0,24.1,2.0,229028,1275,20,1.57,4.2,False,3,3,0.72,0.32,True,False,False,low_access_only
06085504201,37.384597280199785,-121.82113606251666,1.833,6020,1247,999,20.7,16.6,1980,0,1363,67,32.9,0.0,22.6,1.1,197750,1748,14,0.8,6.7,False,12,12,1.99,6.55,True,False,False,low_access_only
06085503113,37.315687415888966,-121.88097258503616,0.445,4028,758,504,18.8,12.5,864,40,633,20,21.4,1.0,15.7,0.5,95625,1308,171,13.07,4.6,True,13,13,3.23,29.21,False,False,False,low_income_only
06085510500,37.39275571279125,-122.12016145625749,1.601,4911,1165,1434,23.7,29.2,2450,0,1952,2,49.9,0.0,39.7,0.0,250001,1751,136,7.77,5.2,False,19,19,3.87,11.87,False,False,False,adequate
06085512031,37.23149909100658,-121.81023259486138,0.876,4099,1033,650,25.2,15.9,1763,0,1493,0,43.0,0.0,36.4,0.0,196727,1372,12,0.87,4.5,False,8,8,1.95,9.13,True,False,False,low_access_only
06085502902,37.27358638552479,-121.91565799663387,1.606,9050,2487,1305,27.5,14.4,5880,0,4245,16,65.0,0.0,46.9,0.2,207614,2991,94,3.14,2.3,False,25,25,2.76,15.57,True,False,False,low_access_only
06085502601,37.29023148447658,-121.91469190871538,0.862,3329,732,866,22.0,26.0,1695,0,1263,10,50.9,0.0,37.9,0.3,193125,1397,179,12.81,3.4,False,15,15,4.51,17.4,False,False,False,adequate
06085503803,37.38359821068427,-121.8497622454506,0.645,5388,1140,809,21.2,15.0,526,0,286,43,9.8,0.0,5.3,0.8,190855,1241,53,4.27,3.3,False,2,2,0.37,3.1,True,False,False,low_access_only
06085512052,37.24646008761848,-121.86508199447616,0.937,4491,765,777,17.0,17.3,1602,0,1041,0,35.7,0.0,23.2,0.0,132699,1733,155,8.94,5.5,True,32,32,7.13,34.15,False,False,False,low_income_only
06085506802,37.24694741143063,-121.93619556768265,1.248,5761,1518,831,26.3,14.4,2683,0,2106,0,46.6,0.0,36.6,0.0,202796,2000,105,5.25,1.3,False,14,14,2.43,11.22,True,False,False,low_access_only
06085500800,37.33061558357029,-121.89555657016315,1.054,4834,276,416,5.7,8.6,1660,0,1227,219,34.3,0.0,25.4,4.5,151357,2476,404,16.32,10.9,False,183,183,37.86,173.62,False,False,False,adequate
06085502302,37.30831894526187,-121.90837893387993,0.412,3261,608,491,18.6,15.1,1477,0,1157,70,45.3,0.0,35.5,2.1,127175,1325,56,4.23,1.7,True,11,10,3.37,26.7,False,False,False,low_income_only
06085501102,37.35403829037002,-121.88122319269578,0.75,4273,911,439,21.3,10.3,829,0,661,39,19.4,0.0,15.5,0.9,144609,1313,25,1.9,9.1,False,10,10,2.34,13.33,True,False,False,low_access_only
06085502703,37.26179305721532,-121.94559087799372,0.854,4296,981,643,22.8,15.0,1743,0,1397,6,40.6,0.0,32.5,0.1,145541,1688,27,1.6,10.8,False,14,14,3.26,16.39,False,False,False,adequate
06085511917,37.20111407961017,-121.84801206219923,1.743,4379,784,1026,17.9,23.4,1446,0,1041,17,33.0,0.0,23.8,0.4,250001,1638,14,0.85,0.8,False,1,1,0.23,0.57,True,False,False,low_access_only
06085511918,37.191338756966076,-121.85927112517862,12.807,3243,740,661,22.8,20.4,1319,0,1034,0,40.7,0.0,31.9,0.0,250001,982,27,2.75,1.5,False,0,0,0.0,0.0,True,False,False,low_access_only
06085509110,37.37296100856177,-122.06356820548594,0.372,3317,783,249,23.6,7.5,1470,0,1148,69,44.3,0.0,34.6,2.1,192045,1392,61,4.38,5.8,False,6,6,1.81,16.13,True,False,False,low_access_only
06085508006,37.31633974454454,-122.01839891957457,0.744,3817,788,653,20.6,17.1,767,0,601,5,20.1,0.0,15.7,0.1,240833,1410,8,0.57,3.3,False,23,23,6.03,30.91,False,False,False,adequate
06085506504,37.29920394044896,-121.95219513485799,0.128,2136,530,169,24.8,7.9,475,0,294,76,22.2,0.0,13.8,3.6,104787,808,38,4.7,5.9,True,13,13,6.09,101.56,False,False,False,low_income_only
06085512511,37.00762937678684,-121.58107205505505,0.84,4774,1256,810,26.3,17.0,2036,0,1253,29,42.6,0.0,26.2,0.6,124625,1556,206,13.24,12.3,True,7,7,1.47,8.33,True,True,True,severe_food_desert
06085505011,37.40378705030451,-121.95769171241514,0.707,4828,795,395,16.5,8.2,968,49,721,17,20.0,1.0,14.9,0.4,156446,1964,212,10.79,2.9,False,3,3,0.62,4.24,True,False,False,low_access_only
06085508705,37.37038454860117,-122.01789498241894,0.373,4452,701,167,15.7,3.8,1172,0,893,11,26.3,0.0,20.1,0.2,189571,1905,136,7.14,1.7,False,6,6,1.35,16.09,True,False,False,low_access_only
