geoid,grocery,fast_food,liquor,convenience,institutional,restaurant_cafe,public_food_count,grocery_pct,fast_food_pct,liquor_pct,institutional_pct,public_biz_per_1k,food_equity_score,equity_tier
06085503111,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,critical_equity_gap
06085503112,0.0,1.0,2.0,1.0,1.0,17.0,21.0,0.0,4.8,9.5,4.5,5.28,11.4,low_equity
06085506302,1.0,1.0,1.0,2.0,2.0,7.0,12.0,8.3,8.3,8.3,14.3,1.89,7.0,critical_equity_gap
06085511200,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,critical_equity_gap
06085509801,1.0,8.0,0.0,0.0,1.0,17.0,26.0,3.8,30.8,0.0,3.7,4.36,11.9,low_equity
06085512401,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,50.0,1.26,3.8,critical_equity_gap
06085511911,0.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,28.6,1.09,3.3,critical_equity_gap
06085506801,3.0,7.0,1.0,1.0,0.0,15.0,27.0,11.1,25.9,3.7,0.0,4.34,14.0,low_equity
06085507600,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,33.3,0.33,1.0,critical_equity_gap
06085505202,7.0,10.0,2.0,1.0,12.0,79.0,99.0,7.1,10.1,2.0,10.8,11.97,28.5,moderate_equity
06085512035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,critical_equity_gap
06085511913,1.0,0.0,0.0,0.0,1.0,8.0,9.0,11.1,0.0,0.0,10.0,2.1,11.9,low_equity
06085502500,0.0,0.0,1.0,0.0,5.0,8.0,9.0,0.0,0.0,11.1,35.7,1.33,2.0,critical_equity_gap
06085506502,0.0,3.0,1.0,1.0,1.0,57.0,62.0,0.0,4.8,1.6,1.6,12.3,27.5,moderate_equity
06085507206,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,50.0,0.35,1.0,critical_equity_gap
06085504308,0.0,0.0,0.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,14.3,1.22,3.7,critical_equity_gap
