tract,geoid,population,ces_score,ces_percentile,ces_decile,ozone,pm25,diesel_pm,pesticide_use,traffic_density,lead_risk,asthma_rate,low_birth_weight_pct,cardiovascular_rate,low_education_pct,poverty_pct,unemployment_pct,housing_burden_pct,PopCharScore,PopCharP,Hispanic,hispanic_pct,African.American,black_pct,Asian.American,asian_pct
6085509201,06085509201,5524,12.7888255827358,19.9193141704488,2.0,0.03716809,8.232423284,0.630583254,0.0,1646.140233,21.88573569,19.22,3.97,8.52,2.5,14.7,4.1,14.2,2.25363809859683,9.54362077660111,396,7.17,447,8.09,1573,28.48
6085510500,06085510500,4541,4.1223717327786,1.71457387796268,1.0,0.036244,8.095510822,0.186003546,0.0,1016.700101,29.8937247,7.95,3.16,4.43,2.9,7.4,4.2,10.3,1.08434852224654,1.15985879979829,99,2.18,10,0.22,1381,30.41
6085509401,06085509401,3806,10.4812218075586,14.0443772062532,2.0,0.036244,8.181223218,0.453354745,0.0,1293.124956,41.26270523,12.05,3.83,6.26,7.9,11.8,4.8,12.3,2.35646914271709,10.6026222894604,575,15.11,131,3.44,1650,43.35
6085509303,06085509303,3563,14.221995086266,23.5627836611195,3.0,0.036244,8.31767473,0.453915579,0.0,912.1027985,32.2890771,19.77,2.72,8.77,11.0,20.3,2.2,21.3,3.00867732003232,18.5577407967726,545,15.3,152,4.27,1266,35.53
6085503306,06085503306,4373,23.715223560774,45.9783156833081,5.0,0.04125212,8.835373744,0.111488412,0.0,1584.22377,47.27126574,57.49,5.88,12.25,40.0,26.2,7.7,27.4,7.1412606443126,78.618255168936,2604,59.55,50,1.14,1544,35.31
6085503211,06085503211,4592,23.614421673322,45.6883509833585,5.0,0.04125212,8.768682185,0.284704674,0.0,3469.802729,39.04451705,39.81,5.15,10.14,28.2,18.7,8.7,17.7,5.68843646776485,57.3877962682804,1295,28.2,66,1.44,2602,56.66
6085503504,06085503504,6346,22.6470049311569,43.5829551185073,5.0,0.04125212,9.033810417,0.133902213,0.0,1022.327414,84.2104689,71.58,4.07,15.02,36.2,21.4,4.8,16.8,5.84631188330861,60.0857286938981,4740,74.69,46,0.72,1529,24.1
6085503601,06085503601,3383,47.9328320219145,85.3630862329803,9.0,0.03975537,8.930079122,0.549273618,0.0,2340.271121,85.1982003,64.26,6.09,12.94,29.3,46.9,3.3,20.1,7.02518553157351,76.9415027735754,1798,53.15,31,0.92,674,19.92
6085512022,06085512022,5523,21.0351576384612,40.0403429147756,5.0,0.04259906,8.182767947,0.247246621,0.0,1010.408703,47.58629277,43.65,6.38,9.96,14.0,18.0,4.8,16.4,5.13957625960155,49.5713565305093,1846,33.42,164,2.97,1797,32.54
6085512017,06085512017,7565,30.3631020082528,59.3671205244579,6.0,0.04192559,8.322774198,0.223725569,0.326818792,1609.982121,51.47691827,65.99,4.99,13.69,20.4,18.7,7.4,21.7,6.5158611425112,69.9193141704488,3696,48.86,196,2.59,1667,22.04
