"Gender","Ethnicity","EEO4 Description","EEOP Job Group Description","Department  ","EEO Function","Age","Employment Status"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","White","Officials and Administrators","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","60-69","Executive Management"
"Female","White","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","COUNTY EXECUTIVE","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","PUBLIC DEFENDER","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","White","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","COUNTY CLERK-RECORDER","Other","50-59","Classified Permanent"
"Male","White","Professionals","Protective Services - Sworn","SHO - CUSTODY BUREAU","Corrections","60-69","Classified Permanent"
"Male","Hispanic/Latino","Service Maintenance","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Officials and Adminstrators","SHO - CUSTODY BUREAU","Corrections","50-59","Classified Permanent"
