"business_id","name","address","CITY","STATE","postal_code","latitude","longitude","phone_number","Geo_Address"
"PR0300002","LUCKY LIQUORS","63 S ABBOTT AV","MILPITAS","CA","95035","37.4272880000","-121.9136190000","+14089468485","POINT (-121.913619 37.427288)"
"PR0300004","7-ELEVEN #14240E","15 S ABBOTT AV","MILPITAS","CA","95035","37.4280280000","-121.9140700000","+14082628783","POINT (-121.91407 37.428028)"
"PR0300005","GREAT INDIAN CUISINE","2026 AGNEW RD","SANTA CLARA","CA","95054","37.3942023000","-121.9597311999","+14086432579","POINT (-121.9597311999 37.3942023)"
"PR0300006","BOB'S DISCOUNT LIQUORS #9","2036 AGNEW RD","SANTA CLARA","CA","95054","37.3940780000","-121.9603080000","+14088558081","POINT (-121.960308 37.394078)"
"PR0300007","DENNY'S","814 E AHWANEE AV","SUNNYVALE","CA","94086","37.3963040000","-122.0281180000","+14087471449","POINT (-122.028118 37.396304)"
"PR0300010","GREENLEE'S BAKERY","1081 THE ALAMEDA","SAN JOSE","CA","95126","37.3316680000","-121.9110640000","+14084604691","POINT (-121.911064 37.331668)"
"PR0300011","ROSIE'S NEW YORK PIZZA","1285 THE ALAMEDA","SAN JOSE","CA","95126","37.3320299000","-121.9126904000","+14082926767","POINT (-121.9126904 37.3320299)"
"PR0300012","LUNA MEXICAN RESTAURANT","1495 THE ALAMEDA AV","SAN JOSE","CA","95126","37.3339488000","-121.9152935000","+14088965900","POINT (-121.9152935 37.3339488)"
"PR0300013","MEDALLO RESTAURANT","1860 THE ALAMEDA ST","SAN JOSE","CA","95126","37.3404839000","-121.9216900000","+14087750850","POINT (-121.92169 37.3404839)"
"PR0300014","BILL'S CAFE","2089 THE ALAMEDA","SAN JOSE","CA","95126","37.3430160000","-121.9284260000",,"POINT (-121.928426 37.343016)"
"PR0300015","Taco Bell - 24783","2555 THE ALAMEDA","SANTA CLARA","CA","95050","37.3452000000","-121.9356100000","+14082443397","POINT (-121.93561 37.3452)"
"PR0300017","SAFEWAY #763","2605 THE ALAMEDA","SANTA CLARA","CA","95050","37.3459467000","-121.9365362000","+14082446873","POINT (-121.9365362 37.3459467)"
"PR0300018","ROUND TABLE PIZZA #1342","2615 THE ALAMEDA","SANTA CLARA","CA","95050","37.3453190000","-121.9363570000","+14082489123","POINT (-121.936357 37.345319)"
"PR0300020","THE HUT","3200 THE ALAMEDA","SANTA CLARA","CA","95050","37.3514690000","-121.9403290000","+18054408040","POINT (-121.940329 37.351469)"
"PR0300021","PALO ALTO HILLS GOLF & COUNTRY CLUB","3000 ALEXIS DR","PALO ALTO","CA","34304","37.3710470000","-122.1745020000","+16509481800","POINT (-122.174502 37.371047)"
"PR0300023","SENIOR CENTER KITCHEN","19655 ALLENDALE AV","SARATOGA","CA","95070","37.2666753000","-122.0160272000",,"POINT (-122.0160272 37.2666753)"
"PR0300024","CARNITAS EL RINCON","148 W ALMA AV","SAN JOSE","CA","95110","37.3141890000","-121.8764560000","+14082971756","POINT (-121.876456 37.314189)"
"PR0300025","PAGODA HOUSE","148 W ALMA AV A","SAN JOSE","CA","95110","37.3141890000","-121.8764560000","+14082933192","POINT (-121.876456 37.314189)"
"PR0300028","SAN JOSE ELKS LODGE #522 - KITCHEN & BAR","444 W ALMA AV","SAN JOSE","CA","95110","37.3086910000","-121.8837410000","+14082983880","POINT (-121.883741 37.308691)"
"PR0300029","SOUVLAKI GREEK SKEWERS","577 W ALMA AV","SAN JOSE","CA","95125","37.3090551000","-121.8874402000","+14082891452","POINT (-121.8874402 37.3090551)"
"PR0300034","CARAVAN LOUNGE","98 S ALMADEN AV","SAN JOSE","CA","95113","37.3329660000","-121.8922990000","+14089956220","POINT (-121.892299 37.332966)"
"PR0300035","6 TO LATE #6","690 S ALMADEN AV","SAN JOSE","CA","95110","37.3240070000","-121.8858610000","+14082860399","POINT (-121.885861 37.324007)"
"PR0300036","UNION MARKET","750 ALMADEN AV","SAN JOSE","CA","95110","37.3230470000","-121.8851290000","+14082958590","POINT (-121.885129 37.323047)"
"PR0300038","PAUL'S IMPERIO LIQUORS AND TAQUERIA #3","1401 ALMADEN RD","SAN JOSE","CA","95125","37.3126690000","-121.8787610000","+16692306970","POINT (-121.878761 37.312669)"
"PR0300040","HACIENDA MEXICAN KITCHEN","1616 ALMADEN RD","SAN JOSE","CA","95125","37.3077057000","-121.8783834999","+14083734696","POINT (-121.8783834999 37.3077057)"
"PR0300045","HOOZ DONUTS","2306 ALMADEN RD # 101","SAN JOSE","CA","95125","37.2904770000","-121.8801890000","+14086936318","POINT (-121.880189 37.290477)"
"PR0300046","MCDONALD'S RESTAURANT #0973","2434 ALMADEN EX","SAN JOSE","CA","95125","37.2899882000","-121.8797375000",,"POINT (-121.8797375 37.2899882)"
"PR0300047","7-ELEVEN #14270D","2440 ALMADEN EX","SAN JOSE","CA","95125","37.2896800000","-121.8799380000","+14089791702","POINT (-121.879938 37.28968)"
"PR0300048","MINI MART","2970 ALMADEN EX","SAN JOSE","CA","95125","37.2786130000","-121.8800320000","+14082671511","POINT (-121.880032 37.278613)"
"PR0300049","EL TORO MAMBO RESTOBAR","2988 ALMADEN EX","SAN JOSE","CA","95125","37.2781637000","-121.8799405000","+16692752009","POINT (-121.8799405 37.2781637)"
"PR0300050","JACK IN THE BOX","4602 ALMADEN EX","SAN JOSE","CA","95118","37.2626230000","-121.8760840000",,"POINT (-121.876084 37.262623)"
"PR0300051","BASKIN ROBBINS","5353 ALMADEN EX # 34","SAN JOSE","CA","95118","37.2541120000","-121.8779880000","+14082654321","POINT (-121.877988 37.254112)"
"PR0300054","SUBWAY #45877","5353 ALMADEN EX 28","SAN JOSE","CA","95118","37.2541120000","-121.8779880000","+14084487098","POINT (-121.877988 37.254112)"
"PR0300055","SEE'S CANDIES #27","5353 ALMADEN EX D-16","SAN JOSE","CA","95118","37.2575610000","-121.8897750000",,"POINT (-121.889775 37.257561)"
"PR0300056","ALMADEN SUSHI","6471-70 ALMADEN EX","SAN JOSE","CA","95120","37.2196620000","-121.8612270000","+14089972024","POINT (-121.861227 37.219662)"
"PR0300057","SAFEWAY #695","6477 ALMADEN EX","SAN JOSE","CA","95120","37.2196620000","-121.8612270000",,"POINT (-121.861227 37.219662)"
"PR0300067","A BITE OF WYOMING","2227 ALUM ROCK AV","SAN JOSE","CA","95116","37.3577948000","-121.8451785000","+14082594819","POINT (-121.8451785 37.3577948)"
"PR0300068","EL CATRIN BAR","2255 ALUM ROCK AV","SAN JOSE","CA","95116","37.3583980000","-121.8449180000","+14084288880","POINT (-121.844918 37.358398)"
"PR0300070","DONG QUE RESTAURANT","2852 ALUM ROCK AV","SAN JOSE","CA","95127","37.3635773000","-121.8326113000","+14082542927","POINT (-121.8326113 37.3635773)"
"PR0300072","PETERS BAKERY INC","3108 ALUM ROCK AV","SAN JOSE","CA","95127","37.3657832000","-121.8275479000","+14082583529","POINT (-121.8275479 37.3657832)"
"PR0300073","R & D LIQUOR","3120 ALUM ROCK AV","SAN JOSE","CA","95127","37.3659550000","-121.8274340000","+14084251713","POINT (-121.827434 37.365955)"
"PR0300074","SAN JOSE COUNTRY CLUB-FOOD","15571 ALUM ROCK AV","SAN JOSE","CA","95127","37.3824752000","-121.8170390000","+14082584901","POINT (-121.817039 37.3824752)"
"PR0300075","GUNN HIGH SCHOOL","780 ARASTRADERO RD","PALO ALTO","CA","94022","37.3995090000","-122.1331010000",,"POINT (-122.133101 37.399509)"
"PR0300076","CHEETAS GENTLEMAN'S CLUB","907 E ARQUES AV","SUNNYVALE","CA","94086","37.3812160000","-122.0089780000",,"POINT (-122.008978 37.381216)"
"PR0300077","SANTEE SCHOOL","1313 AUDUBON DR","SAN JOSE","CA","95122","37.3280360000","-121.8466900000",,"POINT (-121.84669 37.328036)"
"PR0300079","PALERMO","791 AUZERAIS AV","SAN JOSE","CA","95126","37.3218559000","-121.9023880000","+14086661939","POINT (-121.902388 37.3218559)"
"PR0300082","EDENVALE SCHOOL","285 AZUCAR AVE","SAN JOSE","CA","95111","37.2617390000","-121.8028750000",,"POINT (-121.802875 37.261739)"
"PR0300086","BOWERS SCHOOL","2755 BARKLEY AV","SANTA CLARA","CA","95051","37.3573100000","-121.9761890000",,"POINT (-121.976189 37.35731)"
"PR0300087","KENTUCKY FRIED CHICKEN #150","250 N BASCOM AV","SAN JOSE","CA","95124","37.3275350000","-121.9315880000",,"POINT (-121.931588 37.327535)"
"PR0300088","BILLS CAFE","302 N BASCOM AV","SAN JOSE","CA","95128","37.3233102000","-121.9318297000","+14082872455","POINT (-121.9318297 37.3233102)"
