geoid,name,state,county,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
060855001001,Block Group 1; Census Tract 5001; Santa Clara County; California,06,085,500100,1,1809,355,180,38,37,252,1217,131857,0,0,,
060855001002,Block Group 2; Census Tract 5001; Santa Clara County; California,06,085,500100,2,824,244,147,85,83,206,415,119419,0,0,,
060855001003,Block Group 3; Census Tract 5001; Santa Clara County; California,06,085,500100,3,2006,495,347,235,0,308,1539,-666666666,0,0,,
060855001004,Block Group 4; Census Tract 5001; Santa Clara County; California,06,085,500100,4,3646,501,255,877,472,1345,1063,215893,0,0,,
060855002001,Block Group 1; Census Tract 5002; Santa Clara County; California,06,085,500200,1,887,64,88,434,25,139,204,86850,0,0,,
060855002002,Block Group 2; Census Tract 5002; Santa Clara County; California,06,085,500200,2,1160,0,44,210,107,13,739,-666666666,0,0,,
060855002003,Block Group 3; Census Tract 5002; Santa Clara County; California,06,085,500200,3,1107,205,108,419,195,115,317,101827,0,0,,
060855002004,Block Group 4; Census Tract 5002; Santa Clara County; California,06,085,500200,4,2285,378,103,682,170,781,424,157101,0,0,,
060855003001,Block Group 1; Census Tract 5003; Santa Clara County; California,06,085,500300,1,2518,347,221,711,342,513,847,178750,0,0,,
060855003002,Block Group 2; Census Tract 5003; Santa Clara County; California,06,085,500300,2,1677,85,229,1025,53,191,401,104405,0,0,,
060855004001,Block Group 1; Census Tract 5004; Santa Clara County; California,06,085,500400,1,1550,317,126,597,166,102,618,154698,0,0,,
060855004002,Block Group 2; Census Tract 5004; Santa Clara County; California,06,085,500400,2,1128,188,192,504,15,290,356,133458,0,0,,
060855005001,Block Group 1; Census Tract 5005; Santa Clara County; California,06,085,500500,1,1141,189,86,649,9,155,155,250001,0,0,,
060855005002,Block Group 2; Census Tract 5005; Santa Clara County; California,06,085,500500,2,1629,323,259,838,0,188,618,135639,0,0,,
060855005003,Block Group 3; Census Tract 5005; Santa Clara County; California,06,085,500500,3,568,34,115,349,2,115,94,111292,0,0,,
060855005004,Block Group 4; Census Tract 5005; Santa Clara County; California,06,085,500500,4,830,153,111,642,0,111,13,250001,0,0,,
060855005005,Block Group 5; Census Tract 5005; Santa Clara County; California,06,085,500500,5,1017,78,316,564,16,250,134,155441,0,0,,
060855006001,Block Group 1; Census Tract 5006; Santa Clara County; California,06,085,500600,1,983,368,101,518,11,29,398,250001,0,0,,
060855006002,Block Group 2; Census Tract 5006; Santa Clara County; California,06,085,500600,2,699,84,121,370,12,218,85,250001,0,0,,
060855006003,Block Group 3; Census Tract 5006; Santa Clara County; California,06,085,500600,3,2674,571,126,378,213,822,1098,130644,0,0,,
060855006004,Block Group 4; Census Tract 5006; Santa Clara County; California,06,085,500600,4,1392,257,261,330,0,231,821,79570,0,0,,
060855008001,Block Group 1; Census Tract 5008; Santa Clara County; California,06,085,500800,1,1869,189,121,403,255,488,639,114643,0,0,,
060855008002,Block Group 2; Census Tract 5008; Santa Clara County; California,06,085,500800,2,1773,67,99,706,150,573,207,185185,0,0,,
060855008003,Block Group 3; Census Tract 5008; Santa Clara County; California,06,085,500800,3,1192,20,196,551,0,257,415,151885,0,0,,
060855009011,Block Group 1; Census Tract 5009.01; Santa Clara County; California,06,085,500901,1,1243,0,255,331,17,560,279,-666666666,0,0,,
060855009012,Block Group 2; Census Tract 5009.01; Santa Clara County; California,06,085,500901,2,1603,43,258,735,60,597,130,162284,0,0,,
060855009013,Block Group 3; Census Tract 5009.01; Santa Clara County; California,06,085,500901,3,1452,214,0,210,383,629,171,51563,0,0,,
