geoid,name,state,county,tract,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
06085500100,Census Tract 5001; Santa Clara County; California,06,085,500100,8285,1595,929,1235,17,983,150,163061,2987,145,4.85,6.0
06085500200,Census Tract 5002; Santa Clara County; California,06,085,500200,5439,647,343,1745,0,1279,153,115541,1854,171,9.22,15.4
06085500300,Census Tract 5003; Santa Clara County; California,06,085,500300,4195,432,450,1736,0,1200,120,107431,1872,51,2.72,9.6
06085500400,Census Tract 5004; Santa Clara County; California,06,085,500400,2678,505,318,1101,0,829,94,152973,1034,84,8.12,2.4
06085500500,Census Tract 5005; Santa Clara County; California,06,085,500500,5185,777,887,3042,158,2108,27,166514,2108,243,11.53,3.5
06085500600,Census Tract 5006; Santa Clara County; California,06,085,500600,5748,1280,609,1596,0,1331,59,140045,2263,259,11.44,9.0
06085500800,Census Tract 5008; Santa Clara County; California,06,085,500800,4834,276,416,1660,0,1227,219,151357,2476,404,16.32,10.9
06085500901,Census Tract 5009.01; Santa Clara County; California,06,085,500901,4298,257,513,1276,0,999,17,72112,2266,518,22.86,35.8
06085500902,Census Tract 5009.02; Santa Clara County; California,06,085,500902,5377,313,24,1210,7,953,268,42955,580,65,11.21,51.0
06085501000,Census Tract 5010; Santa Clara County; California,06,085,501000,4928,652,714,1518,0,1090,142,58775,2518,681,27.05,19.4
06085501101,Census Tract 5011.01; Santa Clara County; California,06,085,501101,3929,309,631,879,0,540,126,105138,1886,234,12.41,22.9
06085501102,Census Tract 5011.02; Santa Clara County; California,06,085,501102,4273,911,439,829,0,661,39,144609,1313,25,1.9,9.1
06085501200,Census Tract 5012; Santa Clara County; California,06,085,501200,4163,609,378,1331,0,1116,18,108913,1466,29,1.98,13.5
06085501300,Census Tract 5013; Santa Clara County; California,06,085,501300,3932,367,524,2144,3,1790,118,145260,1185,155,13.08,13.5
06085501401,Census Tract 5014.01; Santa Clara County; California,06,085,501401,2902,787,494,542,18,414,43,80216,828,118,14.25,7.9
06085501402,Census Tract 5014.02; Santa Clara County; California,06,085,501402,2703,414,518,878,0,731,11,94491,823,50,6.08,15.4
06085501501,Census Tract 5015.01; Santa Clara County; California,06,085,501501,4403,1061,589,392,0,253,69,81859,1322,78,5.9,8.9
06085501502,Census Tract 5015.02; Santa Clara County; California,06,085,501502,4350,836,512,968,0,916,7,111089,1235,117,9.47,11.7
06085501601,Census Tract 5016.01; Santa Clara County; California,06,085,501601,3558,365,318,1237,0,939,5,120770,1429,138,9.66,20.6
06085501602,Census Tract 5016.02; Santa Clara County; California,06,085,501602,2911,355,281,814,11,628,72,58466,1197,225,18.8,26.0
06085501700,Census Tract 5017; Santa Clara County; California,06,085,501700,4871,1158,287,988,0,857,19,94736,1497,80,5.34,13.1
06085501800,Census Tract 5018; Santa Clara County; California,06,085,501800,4786,1057,665,2195,0,1585,19,142235,1733,56,3.23,6.8
06085501901,Census Tract 5019.01; Santa Clara County; California,06,085,501901,3126,326,368,993,0,707,54,147727,1638,201,12.27,9.2
06085501902,Census Tract 5019.02; Santa Clara County; California,06,085,501902,3619,463,138,1097,0,750,12,151140,1852,34,1.84,5.1
06085502001,Census Tract 5020.01; Santa Clara County; California,06,085,502001,4956,1308,586,1697,6,1156,72,94794,1945,240,12.34,13.4
06085502002,Census Tract 5020.02; Santa Clara County; California,06,085,502002,4985,1189,307,1202,0,930,81,117969,1804,148,8.2,12.8
06085502101,Census Tract 5021.01; Santa Clara County; California,06,085,502101,5361,935,1225,2422,0,1849,5,144038,2070,112,5.41,11.3
06085502103,Census Tract 5021.03; Santa Clara County; California,06,085,502103,4225,661,473,991,0,770,60,91591,1656,64,3.86,17.6
06085502104,Census Tract 5021.04; Santa Clara County; California,06,085,502104,2459,533,361,703,0,507,23,102105,998,22,2.2,9.6
06085502202,Census Tract 5022.02; Santa Clara County; California,06,085,502202,3150,387,564,1665,7,1170,36,113958,1434,69,4.81,9.8
06085502203,Census Tract 5022.03; Santa Clara County; California,06,085,502203,3875,389,672,1331,0,1029,64,125750,1802,104,5.77,12.7
