VENDOR                                                                                                                                                                                                    ,ADDRESS                                                                                                        ,SECOND ADDRESS                                              ,CITY                                                        ,ZIP  ,COUNTY                                                      ,LATITUDE               ,LONGITUDE
"SAVE MART #609"                                                                                                                                                                                          ,11980 HIGHWAY 88                                                                                               ,                                                            ,Jackson                                                     ,95642,Amador                                                      ,38.36238               ,-120.8013
"FOODMAXX #475"                                                                                                                                                                                           ,2051 DR. MARTIN L. KING JR PARKWAY                                                                             ,                                                            ,Chico                                                       ,95928,Butte                                                       ,39.70313               ,-121.8335
"FOODMAXX #474"                                                                                                                                                                                           ,1160 OROVILLE DAM BLVD.                                                                                        ,                                                            ,Oroville                                                    ,95965,Butte                                                       ,39.50231               ,-121.5615
"SAVE MART #602"                                                                                                                                                                                          ,146 W. EAST AVE.                                                                                               ,                                                            ,Chico                                                       ,95926,Butte                                                       ,39.75671               ,-121.8642
"SAVE MART #613"                                                                                                                                                                                          ,6636 CLARK RD.                                                                                                 ,                                                            ,Paradise                                                    ,95969,Butte                                                       ,39.77658               ,-121.5895
"SAVE MART #046"                                                                                                                                                                                          ,260 S MAIN ST                                                                                                  ,                                                            ,Angels Camp                                                 ,95222,Calaveras                                                   ,38.07852               ,-120.5557
"SAVE MART #614"                                                                                                                                                                                          ,1270 BROADWAY                                                                                                  ,                                                            ,Placerville                                                 ,95667,El Dorado                                                   ,38.7306                ,-120.7843
"SAVE MART #615"                                                                                                                                                                                          ,3966 MISSOURI FLAT RD. SUITE A                                                                                 ,                                                            ,Placerville                                                 ,95667,El Dorado                                                   ,38.7111                ,-120.8436
"SAVE MART #027"                                                                                                                                                                                          ,1580 E MANNING AVE                                                                                             ,                                                            ,Reedley                                                     ,93654,Fresno                                                      ,36.60581               ,-119.4321
"SAVE MART #019"                                                                                                                                                                                          ,4041 E ASHLAN AVE                                                                                              ,                                                            ,Fresno                                                      ,93726,Fresno                                                      ,36.79533               ,-119.7569
"SAVE MART #054"                                                                                                                                                                                          ,2066 W BULLARD AVE                                                                                             ,                                                            ,Fresno                                                      ,93711,Fresno                                                      ,36.82294               ,-119.8285
"SAVE MART #052"                                                                                                                                                                                          ,2179 SHAW AVE                                                                                                  ,                                                            ,Clovis                                                      ,93611,Fresno                                                      ,36.81009               ,-119.6736
"SAVE MART #065"                                                                                                                                                                                          ,7075 N MARKS AVE                                                                                               ,                                                            ,Fresno                                                      ,93711,Fresno                                                      ,36.83783               ,-119.8492
"FOODMAXX #403"                                                                                                                                                                                           ,3241 W SHAW AVE                                                                                                ,                                                            ,Fresno                                                      ,93711,Fresno                                                      ,36.80669               ,-119.8503
"SAVE MART #071"                                                                                                                                                                                          ,659 E NEES AVE                                                                                                 ,                                                            ,Fresno                                                      ,93720,Fresno                                                      ,36.85085               ,-119.7734
"SAVE MART #078"                                                                                                                                                                                          ,1107 E CHAMPLAIN DR                                                                                            ,                                                            ,Fresno                                                      ,93720,Fresno                                                      ,36.87046               ,-119.7651
"FOODMAXX #414"                                                                                                                                                                                           ,5422 N BLACKSTONE AVE                                                                                          ,                                                            ,Fresno                                                      ,93710,Fresno                                                      ,36.81687               ,-119.7884
"SAVE MART #087"                                                                                                                                                                                          ,1157 N WILLOW AVE                                                                                              ,                                                            ,Clovis                                                      ,93611,Fresno                                                      ,36.85082               ,-119.728
"FOODMAXX #459"                                                                                                                                                                                           ,1355 SHAW AVE.                                                                                                 ,                                                            ,Clovis                                                      ,93612,Fresno                                                      ,36.80996               ,-119.6918
"FOODMAXX #456"                                                                                                                                                                                           ,1177 FRESNO ST.                                                                                                ,                                                            ,Fresno                                                      ,93706,Fresno                                                      ,36.73166               ,-119.802
"SAVE MART #092"                                                                                                                                                                                          ,4120 N WEST AVE                                                                                                ,                                                            ,Fresno                                                      ,93705,Fresno                                                      ,36.79216               ,-119.8249
"SAVE MART #098"                                                                                                                                                                                          ,1835 HERNDON AVE                                                                                               ,                                                            ,Clovis                                                      ,93611,Fresno                                                      ,36.83833               ,-119.6821
"SAVE MART #093"                                                                                                                                                                                          ,6797 N MILBURN AVE                                                                                             ,                                                            ,Fresno                                                      ,93722,Fresno                                                      ,36.8362                ,-119.8811
"SAVE MART #088"                                                                                                                                                                                          ,275 W FOREST AVE                                                                                               ,                                                            ,Coalinga                                                    ,93210,Fresno                                                      ,36.13499               ,-120.3608
"SAVE MART #650"                                                                                                                                                                                          ,4043 W. CLINTON AVE                                                                                            ,                                                            ,Fresno                                                      ,93722,Fresno                                                      ,36.77056               ,-119.8634
"SAVE MART #651"                                                                                                                                                                                          ,5750 N. FIRST ST.                                                                                              ,                                                            ,Fresno                                                      ,93710,Fresno                                                      ,36.8223                ,-119.7702
"SAVE MART #654"                                                                                                                                                                                          ,909 SIERRA ST.                                                                                                 ,                                                            ,Kingsburg                                                   ,93631,Fresno                                                      ,36.5191                ,-119.5588
"FOODMAXX #499"                                                                                                                                                                                           ,5671 E. KINGS CANYON RD.                                                                                       ,                                                            ,Fresno                                                      ,93727,Fresno                                                      ,36.73694               ,-119.6961
"FOODMAXX #401"                                                                                                                                                                                           ,6300 WHITE LANE                                                                                                ,                                                            ,Bakersfield                                                 ,93309,Kern                                                        ,35.31939               ,-119.0731
"SAVEMART #064"                                                                                                                                                                                           ,841 TUCKER RD                                                                                                  ,                                                            ,Tehachapi                                                   ,93561,Kern                                                        ,35.12276               ,-118.4689
"FOODMAXX #413"                                                                                                                                                                                           ,6465 NILES ST                                                                                                  ,                                                            ,Bakersfield                                                 ,93306,Kern                                                        ,35.37469               ,-118.9338
"FOODMAXX #453"                                                                                                                                                                                           ,4400 MING AVE                                                                                                  ,                                                            ,Bakersfield                                                 ,93309,Kern                                                        ,35.3414                ,-119.0509
"SAVE MART #096"                                                                                                                                                                                          ,9600 HAGEMAN RD                                                                                                ,                                                            ,Bakersfield                                                 ,93312,Kern                                                        ,35.39983               ,-119.1084
"SAVE MART #036"                                                                                                                                                                                          ,715 W GRANGEVILLE BLVD                                                                                         ,                                                            ,Hanford                                                     ,93230,Kings                                                       ,36.34136               ,-119.6563
"SAVE MART #073"                                                                                                                                                                                          ,105 W HANFORD-ARMONA RD                                                                                        ,                                                            ,Lemoore                                                     ,93245,Kings                                                       ,36.31155               ,-119.7818
"SAVE MART #077"                                                                                                                                                                                          ,1504 HOWARD RD                                                                                                 ,                                                            ,Madera                                                      ,93637,Madera                                                      ,36.95122               ,-120.0757
"SAVE MART #103"                                                                                                                                                                                          ,1225 E ROBERTSON BLVD                                                                                          ,                                                            ,Chowchilla                                                  ,93610,Madera                                                      ,37.12555               ,-120.2474
"SAVE MART #053"                                                                                                                                                                                          ,150 W OLIVE AVE                                                                                                ,                                                            ,Merced                                                      ,95348,Merced                                                      ,37.31789               ,-120.4716
"FOODMAXX #487"                                                                                                                                                                                           ,1300 W. OLIVE AVE.                                                                                             ,                                                            ,Merced                                                      ,95348,Merced                                                      ,37.31784               ,-120.4921
"SAVE MART #102"                                                                                                                                                                                          ,1701 BELLEVUE RD                                                                                               ,                                                            ,Atwater                                                     ,95301,Merced                                                      ,37.36208               ,-120.6124
"SAVE MART #631"                                                                                                                                                                                          ,1400 MERCEY SPRINGS RD.                                                                                        ,                                                            ,Los Banos                                                   ,93635,Merced                                                      ,37.05489               ,-120.8343
"SAVE MART #608"                                                                                                                                                                                          ,2054 NEVADA CITY HWY.                                                                                          ,                                                            ,Grass Valley                                                ,95945,Nevada                                                      ,39.23929               ,-121.0376
"SAVE MART #627"                                                                                                                                                                                          ,11399 DEERFIELD DR.                                                                                            ,                                                            ,Truckee                                                     ,96161,Nevada                                                      ,39.3196                ,-120.2085
"SAVE MART #600"                                                                                                                                                                                          ,386 ELM AVE.                                                                                                   ,                                                            ,Auburn                                                      ,95603,Placer                                                      ,38.90532               ,-121.0741
"SAVE MART #616"                                                                                                                                                                                          ,3021 STANFORD RANCH RD.                                                                                        ,                                                            ,Rocklin                                                     ,95765,Placer                                                      ,38.81604               ,-121.2585
"SAVE MART #617"                                                                                                                                                                                          ,5060 FOOTHILLS BLVD.                                                                                           ,                                                            ,Roseville                                                   ,95747,Placer                                                      ,38.7602                ,-121.3125
"SAVE MART #072"                                                                                                                                                                                          ,1059 C ST                                                                                                      ,                                                            ,Galt                                                        ,95632,Sacramento                                                  ,38.25435               ,-121.2979
"FOODMAXX #464"                                                                                                                                                                                           ,3860 FLORIN RD.                                                                                                ,                                                            ,Sacramento                                                  ,95823,Sacramento                                                  ,38.49488               ,-121.4616
"FOODMAXX #420"                                                                                                                                                                                           ,6982 SUNRISE BLVD.                                                                                             ,                                                            ,Citrus Heights                                              ,95610,Sacramento                                                  ,38.69309               ,-121.2698
"FOOD MAXX #485"                                                                                                                                                                                          ,4708 MANZANITA AVE.                                                                                            ,                                                            ,Carmichael                                                  ,95608,Sacramento                                                  ,38.64981               ,-121.3258
"SAVE MART #605"                                                                                                                                                                                          ,9160 ELK GROVE FLORIN RD.                                                                                      ,                                                            ,Elk Grove                                                   ,95624,Sacramento                                                  ,38.42419               ,-121.3723
"FOODMAXX #488"                                                                                                                                                                                           ,3291 TRUXEL RD.                                                                                                ,                                                            ,Sacramento                                                  ,95833,Sacramento                                                  ,38.62701               ,-121.4986
"SAVE MART #619"                                                                                                                                                                                          ,7960 GERBER RD.                                                                                                ,                                                            ,Sacramento                                                  ,95828,Sacramento                                                  ,38.48052               ,-121.4102
"SAVE MART #622"                                                                                                                                                                                          ,5600 FOLSOM BLVD.                                                                                              ,                                                            ,Sacramento                                                  ,95819,Sacramento                                                  ,38.55761               ,-121.4387
"SAVE MART #623"                                                                                                                                                                                          ,9137 KIEFER BLVD.                                                                                              ,                                                            ,Sacramento                                                  ,95826,Sacramento                                                  ,38.54852               ,-121.3601
"SAVE MART #625"                                                                                                                                                                                          ,2501 FAIR OAKS BLVD.                                                                                           ,                                                            ,Sacramento                                                  ,95825,Sacramento                                                  ,38.57483               ,-121.4037
"FOODMAXX #497"                                                                                                                                                                                           ,7477 WATT AVE.                                                                                                 ,                                                            ,North Highlands                                             ,95660,Sacramento                                                  ,38.70281               ,-121.3844
"SAVE MART #012"                                                                                                                                                                                          ,1431 W YOSEMITE AVE                                                                                            ,                                                            ,Manteca                                                     ,95336,San Joaquin                                                 ,37.79826               ,-121.2391
"SAVE MART #039"                                                                                                                                                                                          ,4725 QUAIL LAKES DR                                                                                            ,                                                            ,Stockton                                                    ,95207,San Joaquin                                                 ,37.9864                ,-121.3422
"FOODMAXX #447"                                                                                                                                                                                           ,610 W KETTLEMAN LN                                                                                             ,                                                            ,Lodi                                                        ,95240,San Joaquin                                                 ,38.11389               ,-121.2812
"SAVE MART #386"                                                                                                                                                                                          ,1172 N MAIN ST                                                                                                 ,                                                            ,Manteca                                                     ,95336,San Joaquin                                                 ,37.8136                ,-121.2152
"SAVE MART #334"                                                                                                                                                                                          ,3215 PACIFIC AVE                                                                                               ,                                                            ,Stockton                                                    ,95204,San Joaquin                                                 ,37.97749               ,-121.3053
"SAVE MART #091"                                                                                                                                                                                          ,7506 PACIFIC AVE                                                                                               ,                                                            ,Stockton                                                    ,95207,San Joaquin                                                 ,38.01779               ,-121.3212
"SAVE MART #094"                                                                                                                                                                                          ,15240 S HARLAN RD                                                                                              ,                                                            ,Lathrop                                                     ,95330,San Joaquin                                                 ,37.8229                ,-121.289
"SAVE MART #655"                                                                                                                                                                                          ,530 W LODI AVE                                                                                                 ,                                                            ,Lodi                                                        ,95240,San Joaquin                                                 ,38.12903               ,-121.281
"SAVE MART #781"                                                                                                                                                                                          ,875 S TRACY BLVD                                                                                               ,                                                            ,Tracy                                                       ,95376,San Joaquin                                                 ,37.72395               ,-121.4369
"SAVE MART #100"                                                                                                                                                                                          ,1453 GOODWIN DR                                                                                                ,                                                            ,Ripon                                                       ,95366,San Joaquin                                                 ,37.75259               ,-121.1354
"FOODMAXX #490"                                                                                                                                                                                           ,1950 W. 11TH ST.                                                                                               ,                                                            ,Tracy                                                       ,95376,San Joaquin                                                 ,37.73754               ,-121.4518
"FOODMAXX #477"                                                                                                                                                                                           ,1330 CHURN CREEK RD.                                                                                           ,                                                            ,Redding                                                     ,96003,Shasta                                                      ,40.58787               ,-122.3528
"MAXX VALUE #250"                                                                                                                                                                                         ,415 PARADISE RD                                                                                                ,                                                            ,Modesto                                                     ,95351,Stanislaus                                                  ,37.62823               ,-121.0131
"SAVE MART #048"                                                                                                                                                                                          ,1449 E F ST                                                                                                    ,                                                            ,Oakdale                                                     ,95361,Stanislaus                                                  ,37.77088               ,-120.8322
"SAVE MART #049"                                                                                                                                                                                          ,2100 STANDIFORD AVE                                                                                            ,                                                            ,Modesto                                                     ,95350,Stanislaus                                                  ,37.68938               ,-121.0321
"SAVE MART #066"                                                                                                                                                                                          ,1631 LANDER AVE                                                                                                ,                                                            ,Turlock                                                     ,95380,Stanislaus                                                  ,37.47722               ,-120.8508
"FOODMAXX #407"                                                                                                                                                                                           ,1845 COUNTRYSIDE LN                                                                                            ,                                                            ,Turlock                                                     ,95380,Stanislaus                                                  ,37.50964               ,-120.8777
"FOODMAXX #410"                                                                                                                                                                                           ,2020 W BRIGGSMORE AVE                                                                                          ,                                                            ,Modesto                                                     ,95350,Stanislaus                                                  ,37.66875               ,-121.0303
"SAVE MART #371"                                                                                                                                                                                          ,2595 GEER RD                                                                                                   ,                                                            ,Turlock                                                     ,95380,Stanislaus                                                  ,37.51605               ,-120.8505
"SAVE MART #082"                                                                                                                                                                                          ,1035 SPERRY RD                                                                                                 ,                                                            ,Patterson                                                   ,95363,Stanislaus                                                  ,37.46522               ,-121.1423
"SAVE MART #086"                                                                                                                                                                                          ,801 OAKDALE RD                                                                                                 ,                                                            ,Modesto                                                     ,95355,Stanislaus                                                  ,37.65448               ,-120.9578
