geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score
060855063024,Block Group 4; Census Tract 5063.02; Santa Clara County; California,1135,186250,,,1,0,1,0,0.0,0.0,1.0
060855066063,Block Group 3; Census Tract 5066.06; Santa Clara County; California,1619,73750,,,0,0,0,0,,0.0,1.0
060855066013,Block Group 3; Census Tract 5066.01; Santa Clara County; California,1568,144219,,,19,0,0,2,0.0,0.0,1.0
060855066031,Block Group 1; Census Tract 5066.03; Santa Clara County; California,771,214792,,,1,0,0,0,0.0,0.0,1.0
060855066032,Block Group 2; Census Tract 5066.03; Santa Clara County; California,1912,250001,,,0,0,0,0,,0.0,1.0
060855066033,Block Group 3; Census Tract 5066.03; Santa Clara County; California,1612,250001,,,2,0,0,1,0.0,0.0,1.0
060855120014,Block Group 4; Census Tract 5120.01; Santa Clara County; California,2246,222167,,,11,0,0,2,0.0,0.0,1.0
060855066042,Block Group 2; Census Tract 5066.04; Santa Clara County; California,1610,231974,,,2,0,0,1,0.0,0.0,1.0
060855066043,Block Group 3; Census Tract 5066.04; Santa Clara County; California,1200,130750,,,0,0,0,0,,0.0,1.0
060855066044,Block Group 4; Census Tract 5066.04; Santa Clara County; California,1997,207500,,,1,0,0,0,0.0,0.0,1.0
060855066045,Block Group 5; Census Tract 5066.04; Santa Clara County; California,1333,242167,,,17,0,1,3,0.0,0.0,1.0
060855066052,Block Group 2; Census Tract 5066.05; Santa Clara County; California,2003,138663,,,4,0,2,1,0.0,0.0,1.0
060855120012,Block Group 2; Census Tract 5120.01; Santa Clara County; California,1445,202760,,,0,0,0,0,,0.0,1.0
060855067011,Block Group 1; Census Tract 5067.01; Santa Clara County; California,707,250001,,,0,0,0,0,,0.0,1.0
060855066011,Block Group 1; Census Tract 5066.01; Santa Clara County; California,1564,107250,,,8,0,0,4,0.0,0.0,1.0
060855067012,Block Group 2; Census Tract 5067.01; Santa Clara County; California,2112,197328,,,2,0,0,1,0.0,0.0,1.0
060855067013,Block Group 3; Census Tract 5067.01; Santa Clara County; California,1801,250001,,,0,0,0,0,,0.0,1.0
060855067021,Block Group 1; Census Tract 5067.02; Santa Clara County; California,2525,115068,,,1,0,0,0,0.0,0.0,1.0
060855067022,Block Group 2; Census Tract 5067.02; Santa Clara County; California,1557,160724,,,0,0,0,0,,0.0,1.0
060855067023,Block Group 3; Census Tract 5067.02; Santa Clara County; California,1673,113611,,,3,0,1,0,0.0,0.0,1.0
060855067031,Block Group 1; Census Tract 5067.03; Santa Clara County; California,1969,238649,,,5,0,1,1,0.0,0.0,1.0
060855067032,Block Group 2; Census Tract 5067.03; Santa Clara County; California,953,120638,,,0,0,0,0,,0.0,1.0
060855120011,Block Group 1; Census Tract 5120.01; Santa Clara County; California,960,203095,,,0,0,0,0,,0.0,1.0
060855119182,Block Group 2; Census Tract 5119.18; Santa Clara County; California,2705,250001,,,0,0,0,0,,0.0,1.0
060855068013,Block Group 3; Census Tract 5068.01; Santa Clara County; California,1251,211250,,,0,0,0,0,,0.0,1.0
060855068014,Block Group 4; Census Tract 5068.01; Santa Clara County; California,854,250001,,,0,0,0,0,,0.0,1.0
060855066012,Block Group 2; Census Tract 5066.01; Santa Clara County; California,693,185833,,,4,0,1,1,0.0,0.0,1.0
060855065051,Block Group 1; Census Tract 5065.05; Santa Clara County; California,1845,103609,,,0,0,0,0,,0.0,1.0
060855063012,Block Group 2; Census Tract 5063.01; Santa Clara County; California,1461,91468,,,2,0,0,1,0.0,0.0,1.0
060855120213,Block Group 3; Census Tract 5120.21; Santa Clara County; California,1815,140816,,,0,0,0,0,,0.0,1.0
060855063014,Block Group 4; Census Tract 5063.01; Santa Clara County; California,1233,153239,,,5,0,0,3,0.0,0.0,1.0
060855063021,Block Group 1; Census Tract 5063.02; Santa Clara County; California,2038,223529,,,1,0,0,0,0.0,0.0,1.0
060855001002,Block Group 2; Census Tract 5001; Santa Clara County; California,824,119419,,,5,0,0,3,0.0,0.0,1.0
060855063041,Block Group 1; Census Tract 5063.04; Santa Clara County; California,2941,91394,,,6,0,1,1,0.0,0.0,1.0
060855063042,Block Group 2; Census Tract 5063.04; Santa Clara County; California,820,207625,,,3,0,0,1,0.0,0.0,1.0
060855063043,Block Group 3; Census Tract 5063.04; Santa Clara County; California,2195,119528,,,2,0,0,0,0.0,0.0,1.0
060855063051,Block Group 1; Census Tract 5063.05; Santa Clara County; California,642,161369,,,0,0,0,0,,0.0,1.0
060855063052,Block Group 2; Census Tract 5063.05; Santa Clara County; California,1935,93011,,,0,0,0,0,,0.0,1.0
060855063053,Block Group 3; Census Tract 5063.05; Santa Clara County; California,1038,56053,,,1,0,0,0,0.0,0.0,1.0
060855064011,Block Group 1; Census Tract 5064.01; Santa Clara County; California,578,206023,,,22,0,0,7,0.0,0.0,1.0
060855064012,Block Group 2; Census Tract 5064.01; Santa Clara County; California,1494,128226,,,6,0,0,3,0.0,0.0,1.0
060855120212,Block Group 2; Census Tract 5120.21; Santa Clara County; California,1415,149919,,,3,0,0,2,0.0,0.0,1.0
060855120052,Block Group 2; Census Tract 5120.05; Santa Clara County; California,475,215096,,,0,0,0,0,,0.0,1.0
060855064021,Block Group 1; Census Tract 5064.02; Santa Clara County; California,1363,83574,,,1,0,0,0,0.0,0.0,1.0
060855064022,Block Group 2; Census Tract 5064.02; Santa Clara County; California,686,181848,,,0,0,0,0,,0.0,1.0
060855120211,Block Group 1; Census Tract 5120.21; Santa Clara County; California,1151,174234,,,0,0,0,0,,0.0,1.0
060855064025,Block Group 5; Census Tract 5064.02; Santa Clara County; California,1111,117462,,,3,0,0,0,0.0,0.0,1.0
060855120193,Block Group 3; Census Tract 5120.19; Santa Clara County; California,1698,87354,,,1,0,0,0,0.0,0.0,1.0
060855120192,Block Group 2; Census Tract 5120.19; Santa Clara County; California,1918,136528,,,2,0,0,0,0.0,0.0,1.0
060855065023,Block Group 3; Census Tract 5065.02; Santa Clara County; California,2868,169236,,,23,0,0,5,0.0,0.0,1.0
060855065031,Block Group 1; Census Tract 5065.03; Santa Clara County; California,1634,109311,,,11,0,0,4,0.0,0.0,1.0
060855065032,Block Group 2; Census Tract 5065.03; Santa Clara County; California,2341,83077,,,14,0,1,2,0.0,0.0,1.0
060855120054,Block Group 4; Census Tract 5120.05; Santa Clara County; California,2190,215365,,,1,0,0,0,0.0,0.0,1.0
060855065041,Block Group 1; Census Tract 5065.04; Santa Clara County; California,1296,94226,,,4,0,1,2,0.0,0.0,1.0
060855068021,Block Group 1; Census Tract 5068.02; Santa Clara County; California,1454,234702,,,4,0,0,0,0.0,0.0,1.0
060855068022,Block Group 2; Census Tract 5068.02; Santa Clara County; California,961,240078,,,0,0,0,0,,0.0,1.0
060855119181,Block Group 1; Census Tract 5119.18; Santa Clara County; California,538,250001,,,0,0,0,0,,0.0,1.0
060855074014,Block Group 4; Census Tract 5074.01; Santa Clara County; California,1152,250001,,,1,0,0,0,0.0,0.0,1.0
060855073011,Block Group 1; Census Tract 5073.01; Santa Clara County; California,969,248839,,,0,0,0,0,,0.0,1.0
060855073012,Block Group 2; Census Tract 5073.01; Santa Clara County; California,1426,244009,,,2,0,0,2,0.0,0.0,1.0
060855073013,Block Group 3; Census Tract 5073.01; Santa Clara County; California,658,169010,,,7,0,0,5,0.0,0.0,1.0
060855073014,Block Group 4; Census Tract 5073.01; Santa Clara County; California,616,250001,,,1,0,0,0,0.0,0.0,1.0
060855073015,Block Group 5; Census Tract 5073.01; Santa Clara County; California,1726,250001,,,1,0,0,0,0.0,0.0,1.0
060855073016,Block Group 6; Census Tract 5073.01; Santa Clara County; California,992,166313,,,1,0,0,0,0.0,0.0,1.0
060855119161,Block Group 1; Census Tract 5119.16; Santa Clara County; California,2027,145074,,,1,0,0,0,0.0,0.0,1.0
060855073022,Block Group 2; Census Tract 5073.02; Santa Clara County; California,974,250001,,,0,0,0,0,,0.0,1.0
060855074011,Block Group 1; Census Tract 5074.01; Santa Clara County; California,1079,235500,,,7,0,0,4,0.0,0.0,1.0
060855074012,Block Group 2; Census Tract 5074.01; Santa Clara County; California,1349,239150,,,1,0,0,0,0.0,0.0,1.0
060855074013,Block Group 3; Census Tract 5074.01; Santa Clara County; California,1246,219500,,,1,0,0,0,0.0,0.0,1.0
060855074015,Block Group 5; Census Tract 5074.01; Santa Clara County; California,974,250001,,,0,0,0,0,,0.0,1.0
060855068024,Block Group 4; Census Tract 5068.02; Santa Clara County; California,501,-666666666,,,1,0,0,1,0.0,0.0,1.0
060855074021,Block Group 1; Census Tract 5074.02; Santa Clara County; California,1600,243221,,,1,0,0,0,0.0,0.0,1.0
060855074023,Block Group 3; Census Tract 5074.02; Santa Clara County; California,1222,223047,,,2,0,0,0,0.0,0.0,1.0
060855075002,Block Group 2; Census Tract 5075; Santa Clara County; California,1322,139281,,,1,0,0,0,0.0,0.0,1.0
060855119153,Block Group 3; Census Tract 5119.15; Santa Clara County; California,1125,20952,,,1,0,0,0,0.0,0.0,1.0
060855075004,Block Group 4; Census Tract 5075; Santa Clara County; California,1436,131250,,,1,0,0,0,0.0,0.0,1.0
060855076001,Block Group 1; Census Tract 5076; Santa Clara County; California,769,217188,,,2,0,0,1,0.0,0.0,1.0
060855076002,Block Group 2; Census Tract 5076; Santa Clara County; California,1275,250001,,,0,0,0,0,,0.0,1.0
060855076003,Block Group 3; Census Tract 5076; Santa Clara County; California,1756,250001,,,1,0,0,0,0.0,0.0,1.0
060855076004,Block Group 4; Census Tract 5076; Santa Clara County; California,2344,250001,,,0,0,0,0,,0.0,1.0
060855077012,Block Group 2; Census Tract 5077.01; Santa Clara County; California,2013,250001,,,6,0,0,3,0.0,0.0,1.0
060855119143,Block Group 3; Census Tract 5119.14; Santa Clara County; California,1648,218563,,,2,0,0,1,0.0,0.0,1.0
060855072062,Block Group 2; Census Tract 5072.06; Santa Clara County; California,981,250001,,,2,0,0,0,0.0,0.0,1.0
060855072061,Block Group 1; Census Tract 5072.06; Santa Clara County; California,1845,250001,,,0,0,0,0,,0.0,1.0
060855072054,Block Group 4; Census Tract 5072.05; Santa Clara County; California,466,250001,,,0,0,0,0,,0.0,1.0
060855072053,Block Group 3; Census Tract 5072.05; Santa Clara County; California,1863,250001,,,3,0,0,1,0.0,0.0,1.0
060855068025,Block Group 5; Census Tract 5068.02; Santa Clara County; California,2190,202566,,,0,0,0,0,,0.0,1.0
060855068031,Block Group 1; Census Tract 5068.03; Santa Clara County; California,2028,244914,,,1,0,0,0,0.0,0.0,1.0
060855068032,Block Group 2; Census Tract 5068.03; Santa Clara County; California,1284,250001,,,2,0,0,0,0.0,0.0,1.0
060855068034,Block Group 4; Census Tract 5068.03; Santa Clara County; California,1317,93813,,,2,0,0,0,0.0,0.0,1.0
060855068041,Block Group 1; Census Tract 5068.04; Santa Clara County; California,489,161111,,,1,0,0,0,0.0,0.0,1.0
060855068042,Block Group 2; Census Tract 5068.04; Santa Clara County; California,1629,189858,,,1,0,0,0,0.0,0.0,1.0
060855068043,Block Group 3; Census Tract 5068.04; Santa Clara County; California,1758,250001,,,0,0,0,0,,0.0,1.0
060855068044,Block Group 4; Census Tract 5068.04; Santa Clara County; California,501,242875,,,4,0,0,0,0.0,0.0,1.0
060855119173,Block Group 3; Census Tract 5119.17; Santa Clara County; California,1494,229821,,,1,0,0,0,0.0,0.0,1.0
060855069002,Block Group 2; Census Tract 5069; Santa Clara County; California,2124,167083,,,5,0,0,1,0.0,0.0,1.0
060855069003,Block Group 3; Census Tract 5069; Santa Clara County; California,2021,250001,,,2,0,0,2,0.0,0.0,1.0
060855070021,Block Group 1; Census Tract 5070.02; Santa Clara County; California,2251,250001,,,0,0,0,0,,0.0,1.0
060855070022,Block Group 2; Census Tract 5070.02; Santa Clara County; California,1074,217917,,,1,0,0,0,0.0,0.0,1.0
060855070031,Block Group 1; Census Tract 5070.03; Santa Clara County; California,975,250001,,,1,0,0,1,0.0,0.0,1.0
060855070032,Block Group 2; Census Tract 5070.03; Santa Clara County; California,1920,214444,,,3,0,0,0,0.0,0.0,1.0
060855119172,Block Group 2; Census Tract 5119.17; Santa Clara County; California,667,250001,,,0,0,0,0,,0.0,1.0
060855119171,Block Group 1; Census Tract 5119.17; Santa Clara County; California,2218,250001,,,0,0,0,0,,0.0,1.0
060855070043,Block Group 3; Census Tract 5070.04; Santa Clara County; California,633,126750,,,14,0,1,5,0.0,0.0,1.0
060855071001,Block Group 1; Census Tract 5071; Santa Clara County; California,783,206389,,,2,0,1,0,0.0,0.0,1.0
060855072031,Block Group 1; Census Tract 5072.03; Santa Clara County; California,1677,149271,,,4,0,0,0,0.0,0.0,1.0
060855072032,Block Group 2; Census Tract 5072.03; Santa Clara County; California,1420,250001,,,1,0,0,0,0.0,0.0,1.0
060855119162,Block Group 2; Census Tract 5119.16; Santa Clara County; California,2456,238750,,,1,0,0,0,0.0,0.0,1.0
060855072052,Block Group 2; Census Tract 5072.05; Santa Clara County; California,1566,218750,,,7,0,0,3,0.0,0.0,1.0
060855120214,Block Group 4; Census Tract 5120.21; Santa Clara County; California,1401,150133,,,0,0,0,0,,0.0,1.0
060855063011,Block Group 1; Census Tract 5063.01; Santa Clara County; California,1025,149671,,,10,0,2,1,0.0,0.0,1.0
060855045062,Block Group 2; Census Tract 5045.06; Santa Clara County; California,1324,180716,,,8,0,1,4,0.0,0.0,1.0
060855050141,Block Group 1; Census Tract 5050.14; Santa Clara County; California,2605,151000,,,7,0,0,5,0.0,0.0,1.0
060855050072,Block Group 2; Census Tract 5050.07; Santa Clara County; California,1548,165000,,,3,0,1,0,0.0,0.0,1.0
060855050073,Block Group 3; Census Tract 5050.07; Santa Clara County; California,1790,176346,,,7,0,0,2,0.0,0.0,1.0
060855050101,Block Group 1; Census Tract 5050.10; Santa Clara County; California,1812,250001,,,0,0,0,0,,0.0,1.0
060855120312,Block Group 2; Census Tract 5120.31; Santa Clara County; California,1287,220729,,,0,0,0,0,,0.0,1.0
060855050103,Block Group 3; Census Tract 5050.10; Santa Clara County; California,915,150588,,,14,0,0,6,0.0,0.0,1.0
060855050111,Block Group 1; Census Tract 5050.11; Santa Clara County; California,2249,145888,,,1,0,0,0,0.0,0.0,1.0
060855050112,Block Group 2; Census Tract 5050.11; Santa Clara County; California,1755,218000,,,2,0,0,0,0.0,0.0,1.0
060855050113,Block Group 3; Census Tract 5050.11; Santa Clara County; California,824,-666666666,,,0,0,0,0,,0.0,1.0
060855050121,Block Group 1; Census Tract 5050.12; Santa Clara County; California,2659,218750,,,12,0,0,5,0.0,0.0,1.0
060855050131,Block Group 1; Census Tract 5050.13; Santa Clara County; California,1419,205455,,,0,0,0,0,,0.0,1.0
060855050132,Block Group 2; Census Tract 5050.13; Santa Clara County; California,2765,193620,,,0,0,0,0,,0.0,1.0
060855050142,Block Group 2; Census Tract 5050.14; Santa Clara County; California,1347,188464,,,0,0,0,0,,0.0,1.0
060855050063,Block Group 3; Census Tract 5050.06; Santa Clara County; California,1030,250001,,,0,0,0,0,,0.0,1.0
060855050143,Block Group 3; Census Tract 5050.14; Santa Clara County; California,2526,159583,,,0,0,0,0,,0.0,1.0
060855050151,Block Group 1; Census Tract 5050.15; Santa Clara County; California,3536,210765,,,13,0,0,6,0.0,0.0,1.0
060855120311,Block Group 1; Census Tract 5120.31; Santa Clara County; California,552,182019,,,7,0,1,4,0.0,0.0,1.0
060855120302,Block Group 2; Census Tract 5120.30; Santa Clara County; California,1332,166250,,,0,0,0,0,,0.0,1.0
060855120301,Block Group 1; Census Tract 5120.30; Santa Clara County; California,1566,182235,,,1,0,0,0,0.0,0.0,1.0
060855051003,Block Group 3; Census Tract 5051; Santa Clara County; California,2074,165938,,,12,0,0,3,0.0,0.0,1.0
060855120292,Block Group 2; Census Tract 5120.29; Santa Clara County; California,2374,180167,,,1,0,0,0,0.0,0.0,1.0
060855052021,Block Group 1; Census Tract 5052.02; Santa Clara County; California,1521,100948,,,1,0,1,0,0.0,0.0,1.0
060855052023,Block Group 3; Census Tract 5052.02; Santa Clara County; California,1074,162700,,,4,0,0,1,0.0,0.0,1.0
060855052024,Block Group 4; Census Tract 5052.02; Santa Clara County; California,1715,172759,,,6,0,0,2,0.0,0.0,1.0
060855120272,Block Group 2; Census Tract 5120.27; Santa Clara County; California,2451,149556,,,7,0,2,1,0.0,0.0,1.0
060855050071,Block Group 1; Census Tract 5050.07; Santa Clara County; California,885,140208,,,26,0,0,7,0.0,0.0,1.0
060855113021,Block Group 1; Census Tract 5113.02; Santa Clara County; California,1262,31144,,,47,0,1,8,0.0,0.0,1.0
060855062044,Block Group 4; Census Tract 5062.04; Santa Clara County; California,1696,250001,,,8,0,1,2,0.0,0.0,1.0
060855048051,Block Group 1; Census Tract 5048.05; Santa Clara County; California,3218,148506,,,0,0,0,0,,0.0,1.0
060855045071,Block Group 1; Census Tract 5045.07; Santa Clara County; California,1098,138400,,,0,0,0,0,,0.0,1.0
060855045072,Block Group 2; Census Tract 5045.07; Santa Clara County; California,2258,150938,,,1,0,0,0,0.0,0.0,1.0
060855120351,Block Group 1; Census Tract 5120.35; Santa Clara County; California,1694,197619,,,0,0,0,0,,0.0,1.0
060855045081,Block Group 1; Census Tract 5045.08; Santa Clara County; California,1784,-666666666,,,0,0,0,0,,0.0,1.0
060855120342,Block Group 2; Census Tract 5120.34; Santa Clara County; California,834,122443,,,0,0,0,0,,0.0,1.0
060855120322,Block Group 2; Census Tract 5120.32; Santa Clara County; California,658,159286,,,1,0,0,0,0.0,0.0,1.0
060855120321,Block Group 1; Census Tract 5120.32; Santa Clara County; California,1450,156625,,,0,0,0,0,,0.0,1.0
060855047001,Block Group 1; Census Tract 5047; Santa Clara County; California,845,194917,,,0,0,0,0,,0.0,1.0
060855048021,Block Group 1; Census Tract 5048.02; Santa Clara County; California,1498,117010,,,10,0,1,4,0.0,0.0,1.0
060855048022,Block Group 2; Census Tract 5048.02; Santa Clara County; California,947,149688,,,1,0,0,0,0.0,0.0,1.0
060855048023,Block Group 3; Census Tract 5048.02; Santa Clara County; California,2061,106447,,,5,0,2,3,0.0,0.0,1.0
060855048052,Block Group 2; Census Tract 5048.05; Santa Clara County; California,1836,114615,,,4,0,1,0,0.0,0.0,1.0
060855120313,Block Group 3; Census Tract 5120.31; Santa Clara County; California,1088,180000,,,1,0,0,0,0.0,0.0,1.0
060855120314,Block Group 4; Census Tract 5120.31; Santa Clara County; California,1172,241786,,,0,0,0,0,,0.0,1.0
060855048062,Block Group 2; Census Tract 5048.06; Santa Clara County; California,1367,166912,,,0,0,0,0,,0.0,1.0
060855048071,Block Group 1; Census Tract 5048.07; Santa Clara County; California,739,91458,,,0,0,0,0,,0.0,1.0
060855048072,Block Group 2; Census Tract 5048.07; Santa Clara County; California,3721,250001,,,1,0,0,0,0.0,0.0,1.0
060855048073,Block Group 3; Census Tract 5048.07; Santa Clara County; California,1460,231804,,,1,0,0,0,0.0,0.0,1.0
060855048081,Block Group 1; Census Tract 5048.08; Santa Clara County; California,2111,117054,,,5,0,0,1,0.0,0.0,1.0
060855049021,Block Group 1; Census Tract 5049.02; Santa Clara County; California,764,157656,,,0,0,0,0,,0.0,1.0
060855049022,Block Group 2; Census Tract 5049.02; Santa Clara County; California,2092,240250,,,4,0,0,3,0.0,0.0,1.0
060855049023,Block Group 3; Census Tract 5049.02; Santa Clara County; California,1554,236042,,,0,0,0,0,,0.0,1.0
060855049031,Block Group 1; Census Tract 5049.03; Santa Clara County; California,1483,172901,,,0,0,0,0,,0.0,1.0
060855049033,Block Group 3; Census Tract 5049.03; Santa Clara County; California,1381,249408,,,0,0,0,0,,0.0,1.0
060855052032,Block Group 2; Census Tract 5052.03; Santa Clara County; California,778,113942,,,2,0,0,1,0.0,0.0,1.0
060855053011,Block Group 1; Census Tract 5053.01; Santa Clara County; California,1150,142788,,,0,0,0,0,,0.0,1.0
060855053013,Block Group 3; Census Tract 5053.01; Santa Clara County; California,1226,-666666666,,,1,0,0,0,0.0,0.0,1.0
060855061032,Block Group 2; Census Tract 5061.03; Santa Clara County; California,792,221161,,,0,0,0,0,,0.0,1.0
060855058004,Block Group 4; Census Tract 5058; Santa Clara County; California,961,149107,,,0,0,0,0,,0.0,1.0
060855059013,Block Group 3; Census Tract 5059.01; Santa Clara County; California,924,130000,,,2,0,1,0,0.0,0.0,1.0
060855059022,Block Group 2; Census Tract 5059.02; Santa Clara County; California,1643,131734,,,5,0,0,1,0.0,0.0,1.0
060855120242,Block Group 2; Census Tract 5120.24; Santa Clara County; California,1749,166250,,,6,0,2,2,0.0,0.0,1.0
060855060002,Block Group 2; Census Tract 5060; Santa Clara County; California,1417,201850,,,1,0,0,0,0.0,0.0,1.0
060855060003,Block Group 3; Census Tract 5060; Santa Clara County; California,1826,168906,,,5,0,1,0,0.0,0.0,1.0
060855060004,Block Group 4; Census Tract 5060; Santa Clara County; California,800,250001,,,0,0,0,0,,0.0,1.0
060855061011,Block Group 1; Census Tract 5061.01; Santa Clara County; California,1277,165375,,,4,0,1,1,0.0,0.0,1.0
060855061012,Block Group 2; Census Tract 5061.01; Santa Clara County; California,1823,224375,,,1,0,0,0,0.0,0.0,1.0
060855120233,Block Group 3; Census Tract 5120.23; Santa Clara County; California,1858,118173,,,5,0,0,3,0.0,0.0,1.0
060855061022,Block Group 2; Census Tract 5061.02; Santa Clara County; California,2745,188980,,,1,0,0,0,0.0,0.0,1.0
060855061033,Block Group 3; Census Tract 5061.03; Santa Clara County; California,1199,222292,,,6,0,0,0,0.0,0.0,1.0
060855053021,Block Group 1; Census Tract 5053.02; Santa Clara County; California,2274,195875,,,0,0,0,0,,0.0,1.0
060855120232,Block Group 2; Census Tract 5120.23; Santa Clara County; California,1597,94074,,,3,0,0,2,0.0,0.0,1.0
060855062021,Block Group 1; Census Tract 5062.02; Santa Clara County; California,1829,250001,,,8,0,0,1,0.0,0.0,1.0
060855062022,Block Group 2; Census Tract 5062.02; Santa Clara County; California,3118,170714,,,2,0,0,0,0.0,0.0,1.0
060855062023,Block Group 3; Census Tract 5062.02; Santa Clara County; California,1062,152740,,,1,0,0,0,0.0,0.0,1.0
060855120231,Block Group 1; Census Tract 5120.23; Santa Clara County; California,1891,135179,,,0,0,0,0,,0.0,1.0
060855120223,Block Group 3; Census Tract 5120.22; Santa Clara County; California,2817,95045,,,1,0,0,0,0.0,0.0,1.0
060855062033,Block Group 3; Census Tract 5062.03; Santa Clara County; California,671,220208,,,1,0,1,0,0.0,0.0,1.0
060855120222,Block Group 2; Census Tract 5120.22; Santa Clara County; California,2417,86100,,,5,0,1,0,0.0,0.0,1.0
060855062041,Block Group 1; Census Tract 5062.04; Santa Clara County; California,1824,175658,,,3,0,0,0,0.0,0.0,1.0
060855120221,Block Group 1; Census Tract 5120.22; Santa Clara County; California,1041,169028,,,0,0,0,0,,0.0,1.0
060855062043,Block Group 3; Census Tract 5062.04; Santa Clara County; California,1015,187609,,,1,0,0,0,0.0,0.0,1.0
060855058003,Block Group 3; Census Tract 5058; Santa Clara County; California,736,161094,,,0,0,0,0,,0.0,1.0
060855058002,Block Group 2; Census Tract 5058; Santa Clara County; California,937,209195,,,70,0,1,14,0.0,0.0,1.0
060855058001,Block Group 1; Census Tract 5058; Santa Clara County; California,1049,115278,,,3,0,1,1,0.0,0.0,1.0
060855057004,Block Group 4; Census Tract 5057; Santa Clara County; California,1834,145081,,,2,0,0,0,0.0,0.0,1.0
060855053031,Block Group 1; Census Tract 5053.03; Santa Clara County; California,1773,183542,,,1,0,1,0,0.0,0.0,1.0
060855053034,Block Group 4; Census Tract 5053.03; Santa Clara County; California,1641,123155,,,0,0,0,0,,0.0,1.0
060855053041,Block Group 1; Census Tract 5053.04; Santa Clara County; California,1208,-666666666,,,3,0,0,1,0.0,0.0,1.0
060855053042,Block Group 2; Census Tract 5053.04; Santa Clara County; California,656,225854,,,0,0,0,0,,0.0,1.0
060855053051,Block Group 1; Census Tract 5053.05; Santa Clara County; California,2201,240137,,,4,0,1,0,0.0,0.0,1.0
060855053052,Block Group 2; Census Tract 5053.05; Santa Clara County; California,649,250001,,,0,0,0,0,,0.0,1.0
060855053053,Block Group 3; Census Tract 5053.05; Santa Clara County; California,1208,135521,,,14,0,0,3,0.0,0.0,1.0
060855054011,Block Group 1; Census Tract 5054.01; Santa Clara County; California,871,212955,,,17,0,1,5,0.0,0.0,1.0
060855054012,Block Group 2; Census Tract 5054.01; Santa Clara County; California,1954,153800,,,2,0,2,0,0.0,0.0,1.0
060855054013,Block Group 3; Census Tract 5054.01; Santa Clara County; California,836,-666666666,,,2,0,0,0,0.0,0.0,1.0
