business_id,name,business_category,fresh_food_likely,address,city,state,postal_code,latitude,longitude,phone_number,tract_geoid,tract_label,block_group_geoid,block_group_label,tract_total_population,tract_median_household_income,tract_households_no_vehicle_pct,tract_poverty_rate_pct,block_group_total_population,block_group_median_household_income,block_group_households_no_vehicle_pct,block_group_poverty_rate_pct
PR0304595,BOI BAKERY COFFEE MILKTEA,fresh_food_retail,1,170 E YOUNGER AV,SAN JOSE,CA,95112,37.3568748,-121.9006962,,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0301281,CHEZ SOVAN,other_food_business,0,923 N 13TH ST,SAN JOSE,CA,95112,37.3614133,-121.8926007,,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0305950,DEL SOL BISTRO,restaurant_or_prepared_food,0,1080 N 7TH ST,SAN JOSE,CA,95112,37.3598071,-121.8980609,14087127417.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0439940,HORNING ST CHEVRON,limited_fresh_food_retail,0,657 HORNING ST,SAN JOSE,CA,95112,37.3618101,-121.8921113,14088492667.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0300502,HUNAN TASTE,other_food_business,0,998 N 4TH ST,SAN JOSE,CA,95112,37.3566503,-121.9015077,14082951186.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0300503,HYDE PARK LOUNGE,other_food_business,0,1070 N 4TH ST,SAN JOSE,CA,95112,37.3585236,-121.9026013,14088282324.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0392415,IKITCHENS,other_food_business,0,326 COMMERCIAL ST,SAN JOSE,CA,95112,37.3607536,-121.8991866,14088167854.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0430647,IKITCHENS,other_food_business,0,336 COMMERCIAL ST,SAN JOSE,CA,95112,37.3605932,-121.8987508999,14088167854.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0441018,IKITCHENS,other_food_business,0,334 COMMERCIAL ST,SAN JOSE,CA,95112,37.3608297,-121.8989723,14088167854.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0446515,IKITCHENS,other_food_business,0,324 COMMERCIAL ST,SAN JOSE,CA,95112,37.3606987,-121.8992835,14088167854.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0301262,LA BODEGA BAR,restaurant_or_prepared_food,0,1030 N 10TH ST,SAN JOSE,CA,95112,37.3607533,-121.895971,14083262077.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0395050,LA PLAZA MARKET,fresh_food_retail,1,901 OAKLAND RD,SAN JOSE,CA,95112,37.3593048,-121.8913473,14082971163.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0395049,LA PLAZA MARKET TAQUERIA,fresh_food_retail,1,901 OAKLAND RD,SAN JOSE,CA,95112,37.3593048,-121.8913473,14082971163.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0447676,LA QUINTA INN & SUITES SAN JOSE,other_food_business,0,1036 N FOURTH ST,SAN JOSE,CA,95112,37.3576823,-121.9018843,14082950240.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0304990,SMOKING PIG BBQ COMPANY LLC,restaurant_or_prepared_food,0,1144 N 4TH ST,SAN JOSE,CA,95112,37.358749,-121.902663,14083804705.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0304217,THIEN THANH FOOD SERVICE,other_food_business,0,921 OAKLAND RD,SAN JOSE,CA,95112,37.3598458,-121.891312,14088327836.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0441015,Taco Bell - 36165,restaurant_or_prepared_food,0,609 HORNING ST,SAN JOSE,CA,95112,37.3617609,-121.8926635,16696990601.0,06085500100,Census Tract 5001,060855001001,Block Group 1,8285.0,163061.0,4.85,6.0,1809.0,131857.0,,
PR0301131,EL BOLERO,other_food_business,0,990 N 17TH ST,SAN JOSE,CA,95112,37.362079,-121.887392,14082759302.0,06085500100,Census Tract 5001,060855001002,Block Group 2,8285.0,163061.0,4.85,6.0,824.0,119419.0,,
PR0301278,GIOVANNI'S PIZZA,restaurant_or_prepared_food,0,862 N 13TH ST,SAN JOSE,CA,95112,37.3592167,-121.890813,14082954141.0,06085500100,Census Tract 5001,060855001002,Block Group 2,8285.0,163061.0,4.85,6.0,824.0,119419.0,,
PR0301276,LA CORONA BAR,restaurant_or_prepared_food,0,858 N 13TH ST,SAN JOSE,CA,95112,37.358868,-121.890184,14082801538.0,06085500100,Census Tract 5001,060855001002,Block Group 2,8285.0,163061.0,4.85,6.0,824.0,119419.0,,
PR0376921,MESQUITE & OAK,other_food_business,0,856 N 13TH ST,SAN JOSE,CA,95112,37.3585258,-121.8901245999,14084183180.0,06085500100,Census Tract 5001,060855001002,Block Group 2,8285.0,163061.0,4.85,6.0,824.0,119419.0,,
PR0301273,TAQUERIA LORENA,restaurant_or_prepared_food,0,854 N 13TH ST,SAN JOSE,CA,95112,37.3591916,-121.8908135,14089200551.0,06085500100,Census Tract 5001,060855001002,Block Group 2,8285.0,163061.0,4.85,6.0,824.0,119419.0,,
PR0303836,EL MAZATLECO,other_food_business,0,782 N 13TH ST,SAN JOSE,CA,95112,37.3567601,-121.8887462,,06085500100,Census Tract 5001,060855001003,Block Group 3,8285.0,163061.0,4.85,6.0,2006.0,-666666666.0,,
PR0301270,MARIA'S-CLUB PAPILLON,other_food_business,0,728 N 13TH ST,SAN JOSE,CA,95112,37.35622,-121.888241,,06085500100,Census Tract 5001,060855001003,Block Group 3,8285.0,163061.0,4.85,6.0,2006.0,-666666666.0,,
PR0372314,PANAPOLIS PANADERIA,other_food_business,0,784 N 13TH ST,SAN JOSE,CA,95112,37.35674,-121.888846,14087260086.0,06085500100,Census Tract 5001,060855001003,Block Group 3,8285.0,163061.0,4.85,6.0,2006.0,-666666666.0,,
PR0301807,EL SOL MARKET,fresh_food_retail,1,705 N 13TH ST,SAN JOSE,CA,95112,37.35524,-121.888126,14087706509.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0427604,EL SOL MARKET,fresh_food_retail,1,705 N 13TH ST,SAN JOSE,CA,95112,37.35524,-121.888126,14087706509.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0301999,J & F LIQUOR,limited_fresh_food_retail,0,701 N 13TH ST,SAN JOSE,CA,95112,37.355172,-121.888075,14082950453.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0303824,JACK'S BAR & LOUNGE,restaurant_or_prepared_food,0,167 E TAYLOR ST,SAN JOSE,CA,95112,37.35091,-121.896702,14088392309.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0301275,MARISCOS COSTA ALEGRE,other_food_business,0,855 N 13TH ST,SAN JOSE,CA,95112,37.358265,-121.89058,14082805014.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0381459,MEAT HOUSE,fresh_food_retail,1,201 E TAYLOR ST # 1,SAN JOSE,CA,95112,37.3514711,-121.8957267,14085607888.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0305772,SALKHI PETROLEUM,other_food_business,0,899 N 13TH ST,SAN JOSE,CA,95112,37.3588685,-121.8912361,14089718440.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0301253,SANTO MARKET,fresh_food_retail,1,245 E TAYLOR ST,SAN JOSE,CA,95112,37.351641,-121.895066,,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0301257,TONY'S POOL HALL,other_food_business,0,585 E TAYLOR ST,SAN JOSE,CA,95112,37.3549028,-121.8880136,14087685129.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0302262,VALERO FOOD & GAS,other_food_business,0,795 N 13TH ST,SAN JOSE,CA,95112,37.3569102,-121.8894354,14082923861.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0300501,WIENERSCHNITZEL #122,other_food_business,0,702 N 4TH ST,SAN JOSE,CA,95112,37.350884,-121.89695,14089989837.0,06085500100,Census Tract 5001,060855001004,Block Group 4,8285.0,163061.0,4.85,6.0,3646.0,215893.0,,
PR0371154,CIVIC PLAZA STATION INN - FOOD,other_food_business,0,1002 N 1ST ST,SAN JOSE,CA,95112,37.355461,-121.904675,14082792270.0,06085500200,Census Tract 5002,060855002001,Block Group 1,5439.0,115541.0,9.22,15.4,887.0,86850.0,,
