geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score,limited_fresh_food_per_1000_people,restaurant_per_1000_people,fresh_food_access_raw,fresh_food_access_score,access_vulnerability_score,priority_area_flag,access_label
06085511608,Census Tract 5116.08; Santa Clara County; California,3316,42824,35.8,47.66,43,0,0,11,0.0,0.0,33.791,0.0,3.3172496984318456,0.030099009900990105,0.2,99.8,True,Highest access vulnerability
06085513000,Census Tract 5130; Santa Clara County; California,12324,53696,21.9,43.68,68,1,0,17,0.0147058823529411,0.08114248620577734,27.6078,0.0,1.379422265498215,0.08217041738441336,0.5,99.5,True,Highest access vulnerability
06085500902,Census Tract 5009.02; Santa Clara County; California,5377,42955,51.0,11.21,26,3,1,6,0.1153846153846153,0.5579319323042589,27.231966666666665,0.1859773107680863,1.1158638646085177,0.15182142478729338,1.0,99.0,True,Highest access vulnerability
06085500901,Census Tract 5009.01; Santa Clara County; California,4298,72112,35.8,22.86,104,5,1,32,0.048076923076923,1.1633317822242903,24.28292,0.23266635644485809,7.445323406235459,0.2532335046667745,27.5,72.5,False,Lower fresh-food access
06085511302,Census Tract 5113.02; Santa Clara County; California,3880,139167,18.2,34.41,114,1,1,21,0.0087719298245614,0.25773195876288657,21.0095,0.25773195876288657,5.412371134020619,0.1740288195045317,2.2,97.8,True,Highest access vulnerability
06085503122,Census Tract 5031.22; Santa Clara County; California,3345,46371,20.4,31.69,56,7,2,19,0.125,2.092675635276532,20.36707142857143,0.5979073243647235,5.680119581464873,0.37816856509071384,85.3,14.7,False,Strong fresh-food access
06085503221,Census Tract 5032.21; Santa Clara County; California,2433,49323,23.2,23.73,17,6,0,6,0.3529411764705882,2.466091245376079,18.8266,0.0,2.466091245376079,0.4411336170111055,93.4,6.6,False,Strong fresh-food access
06085501602,Census Tract 5016.02; Santa Clara County; California,2911,58466,26.0,18.8,12,3,0,3,0.25,1.0305736860185504,18.47406666666667,0.0,1.0305736860185504,0.25665909459247627,30.4,69.6,False,Lower fresh-food access
06085501000,Census Tract 5010; Santa Clara County; California,4928,58775,19.4,27.05,35,5,2,9,0.1428571428571428,1.0146103896103895,18.39462,0.40584415584415584,1.8262987012987013,0.2504135882828547,25.0,75.0,False,Lower fresh-food access
06085503712,Census Tract 5037.12; Santa Clara County; California,3770,50612,27.0,15.06,10,1,0,2,0.1,0.26525198938992045,18.175,0.0,0.5305039787798409,0.15547415666699602,1.5,98.5,True,Highest access vulnerability
06085503710,Census Tract 5037.10; Santa Clara County; California,3046,43125,19.5,22.41,18,1,2,3,0.0555555555555555,0.3282994090610637,17.227700000000002,0.6565988181221274,0.9848982271831911,0.15979675947253985,1.7,98.3,True,Highest access vulnerability
06085511915,Census Tract 5119.15; Santa Clara County; California,3754,81458,16.7,26.78,23,5,0,5,0.217391304347826,1.3319126265316996,17.038159999999998,0.0,1.3319126265316996,0.3100872492122039,69.1,30.9,False,Above-average fresh-food access
06085505203,Census Tract 5052.03; Santa Clara County; California,5725,139028,27.8,9.28,44,5,0,15,0.1136363636363636,0.8733624454148472,15.986999999999998,0.0,2.6200873362445414,0.29074342375372225,55.1,44.9,False,Moderate fresh-food access
06085503112,Census Tract 5031.12; Santa Clara County; California,3978,76156,21.7,15.91,22,4,1,4,0.1818181818181818,1.0055304172951232,15.5324,0.2513826043237808,1.0055304172951232,0.27639736079428323,42.6,57.4,False,Moderate fresh-food access
06085501101,Census Tract 5011.01; Santa Clara County; California,3929,105138,22.9,12.41,29,6,1,8,0.2068965517241379,1.5271061338763043,14.779466666666664,0.2545176889793841,2.0361415118350727,0.3657274157325965,83.3,16.7,False,Strong fresh-food access
06085503105,Census Tract 5031.05; Santa Clara County; California,2012,61838,19.9,15.85,95,7,1,15,0.0736842105263157,3.479125248508946,14.559985714285714,0.4970178926441352,7.455268389662028,0.6069263927567787,98.5,1.5,False,Strong fresh-food access
06085502204,Census Tract 5022.04; Santa Clara County; California,3394,68508,19.2,14.01,1,0,1,0,0.0,0.0,14.5435,0.2946375957572186,0.0,0.14597170637356874,0.7,99.3,True,Highest access vulnerability
