geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score
06085511608,Census Tract 5116.08; Santa Clara County; California,3316,42824,35.8,47.66,43,0,0,11,0.0,0.0,33.791
06085513000,Census Tract 5130; Santa Clara County; California,12324,53696,21.9,43.68,68,1,0,17,0.014705882352941176,0.08114248620577734,27.6078
06085500902,Census Tract 5009.02; Santa Clara County; California,5377,42955,51.0,11.21,26,3,1,6,0.11538461538461539,0.5579319323042589,27.231966666666665
06085500901,Census Tract 5009.01; Santa Clara County; California,4298,72112,35.8,22.86,104,5,1,32,0.04807692307692308,1.1633317822242903,24.282919999999997
06085511302,Census Tract 5113.02; Santa Clara County; California,3880,139167,18.2,34.41,114,1,1,21,0.008771929824561403,0.25773195876288657,21.0095
06085503122,Census Tract 5031.22; Santa Clara County; California,3345,46371,20.4,31.69,56,7,2,19,0.125,2.092675635276532,20.36707142857143
06085503221,Census Tract 5032.21; Santa Clara County; California,2433,49323,23.2,23.73,17,6,0,6,0.35294117647058826,2.466091245376079,18.8266
06085501602,Census Tract 5016.02; Santa Clara County; California,2911,58466,26.0,18.8,12,3,0,3,0.25,1.0305736860185504,18.47406666666667
06085501000,Census Tract 5010; Santa Clara County; California,4928,58775,19.4,27.05,35,5,2,9,0.14285714285714285,1.0146103896103895,18.39462
06085503712,Census Tract 5037.12; Santa Clara County; California,3770,50612,27.0,15.06,10,1,0,2,0.1,0.26525198938992045,18.175
06085503710,Census Tract 5037.10; Santa Clara County; California,3046,43125,19.5,22.41,18,1,2,3,0.05555555555555555,0.3282994090610637,17.227700000000002
06085511915,Census Tract 5119.15; Santa Clara County; California,3754,81458,16.7,26.78,23,5,0,5,0.21739130434782608,1.3319126265316996,17.038159999999998
06085505203,Census Tract 5052.03; Santa Clara County; California,5725,139028,27.8,9.28,44,5,0,15,0.11363636363636363,0.8733624454148472,15.986999999999998
06085503112,Census Tract 5031.12; Santa Clara County; California,3978,76156,21.7,15.91,22,4,1,4,0.18181818181818182,1.0055304172951232,15.5324
06085501101,Census Tract 5011.01; Santa Clara County; California,3929,105138,22.9,12.41,29,6,1,8,0.20689655172413793,1.5271061338763043,14.779466666666664
06085503105,Census Tract 5031.05; Santa Clara County; California,2012,61838,19.9,15.85,95,7,1,15,0.07368421052631578,3.479125248508946,14.559985714285714
06085502204,Census Tract 5022.04; Santa Clara County; California,3394,68508,19.2,14.01,1,0,1,0,0.0,0.0,14.5435
06085503709,Census Tract 5037.09; Santa Clara County; California,5862,78089,18.4,14.1,11,1,1,4,0.09090909090909091,0.17059024223814398,14.3874
06085501601,Census Tract 5016.01; Santa Clara County; California,3558,120770,20.6,9.66,5,1,1,0,0.2,0.2810567734682406,13.362600000000002
06085505600,Census Tract 5056; Santa Clara County; California,4808,140263,20.1,10.67,40,3,3,10,0.075,0.6239600665557404,13.100033333333336
06085503713,Census Tract 5037.13; Santa Clara County; California,3082,68636,15.4,13.41,2,0,1,0,0.0,0.0,12.6235
06085503218,Census Tract 5032.18; Santa Clara County; California,4227,53036,11.8,19.67,19,3,1,3,0.15789473684210525,0.7097232079489,12.476300000000002
06085504808,Census Tract 5048.08; Santa Clara County; California,2111,117054,10.5,19.1,5,0,0,1,0.0,0.0,12.41
06085505100,Census Tract 5051; Santa Clara County; California,3993,115395,14.5,16.2,108,4,3,41,0.037037037037037035,1.0017530678687703,12.39465
06085508509,Census Tract 5085.09; Santa Clara County; California,4240,161270,9.2,22.5,19,3,0,6,0.15789473684210525,0.7075471698113207,12.297666666666666
06085506305,Census Tract 5063.05; Santa Clara County; California,5235,96150,12.7,14.68,18,1,0,4,0.05555555555555555,0.19102196752626552,11.9
06085505202,Census Tract 5052.02; Santa Clara County; California,8273,164928,19.1,8.48,111,11,3,42,0.0990990990990991,1.3296264958298079,11.713418181818183
06085501300,Census Tract 5013; Santa Clara County; California,3932,145260,13.5,13.08,17,1,2,4,0.058823529411764705,0.254323499491353,11.4394
06085508510,Census Tract 5085.10; Santa Clara County; California,3606,174167,14.2,13.93,36,5,2,7,0.1388888888888889,1.3865779256794233,11.40974
06085503305,Census Tract 5033.05; Santa Clara County; California,5874,103000,13.6,14.44,105,18,2,20,0.17142857142857143,3.0643513789581207,11.239266666666666
06085512022,Census Tract 5120.22; Santa Clara County; California,6275,94495,17.9,6.22,6,0,1,0,0.0,0.0,11.232
06085512511,Census Tract 5125.11; Santa Clara County; California,4774,124625,12.3,13.24,7,0,0,0,0.0,0.0,11.169
06085505700,Census Tract 5057; Santa Clara County; California,5636,125740,18.4,5.11,18,0,1,6,0.0,0.0,11.0685
06085503123,Census Tract 5031.23; Santa Clara County; California,3872,65525,12.7,12.66,5,1,0,1,0.2,0.25826446280991733,10.9204
06085503402,Census Tract 5034.02; Santa Clara County; California,4279,79306,14.0,12.2,14,4,1,1,0.2857142857142857,0.9347978499649451,10.78395
06085503213,Census Tract 5032.13; Santa Clara County; California,4920,72174,15.9,7.49,11,0,3,3,0.0,0.0,10.7765
06085510600,Census Tract 5106; Santa Clara County; California,6602,198068,18.8,2.78,22,1,0,7,0.045454545454545456,0.1514692517418964,10.7534
06085500200,Census Tract 5002; Santa Clara County; California,5439,115541,15.4,9.22,20,2,0,6,0.1,0.36771465342893916,10.7009
06085500800,Census Tract 5008; Santa Clara County; California,4834,151357,10.9,16.32,183,13,1,80,0.07103825136612021,2.689284236657013,10.691369230769231
06085502001,Census Tract 5020.01; Santa Clara County; California,4956,94794,13.4,12.34,34,4,1,10,0.11764705882352941,0.8071025020177562,10.5968
06085503327,Census Tract 5033.27; Santa Clara County; California,4434,172381,7.6,17.37,20,1,1,5,0.05,0.2255299954894001,10.386300000000002
06085502103,Census Tract 5021.03; Santa Clara County; California,4225,91591,17.6,3.86,8,0,0,3,0.0,0.0,10.271
06085511501,Census Tract 5115.01; Santa Clara County; California,4680,173470,10.3,15.5,54,6,0,14,0.1111111111111111,1.2820512820512822,10.216000000000001
06085507704,Census Tract 5077.04; Santa Clara County; California,3367,157014,5.9,18.54,2,0,0,0,0.0,0.0,10.143999999999998
06085506503,Census Tract 5065.03; Santa Clara County; California,6623,111225,5.9,19.68,41,4,1,10,0.0975609756097561,0.603955911218481,9.87415
06085504410,Census Tract 5044.10; Santa Clara County; California,3960,153523,10.9,11.5,20,1,2,1,0.05,0.25252525252525254,9.722
06085508602,Census Tract 5086.02; Santa Clara County; California,6074,180959,7.9,17.15,81,9,0,20,0.1111111111111111,1.481725386894962,9.692477777777777
06085509500,Census Tract 5095; Santa Clara County; California,5617,178892,7.9,14.25,9,1,1,0,0.1111111111111111,0.17803097739006588,9.6659
06085505402,Census Tract 5054.02; Santa Clara County; California,3051,167457,10.5,12.76,15,2,0,4,0.13333333333333333,0.6555227794165848,9.496099999999998
06085504510,Census Tract 5045.10; Santa Clara County; California,3900,159186,9.3,13.96,78,5,2,13,0.0641025641025641,1.2820512820512822,9.227000000000002
06085504320,Census Tract 5043.20; Santa Clara County; California,2990,183571,13.8,5.74,0,0,0,0,,0.0,9.219000000000001
06085503208,Census Tract 5032.08; Santa Clara County; California,3182,163558,17.0,1.41,3,0,1,1,0.0,0.0,9.1435
06085502002,Census Tract 5020.02; Santa Clara County; California,4985,117969,12.8,8.2,8,2,0,0,0.25,0.4012036108324975,9.1285
06085501402,Census Tract 5014.02; Santa Clara County; California,2703,94491,15.4,6.08,13,8,0,1,0.6153846153846154,2.959674435812061,9.125575
06085505013,Census Tract 5050.13; Santa Clara County; California,5637,215775,5.7,15.34,2,1,0,0,0.5,0.17739932588256166,9.061399999999999
06085504413,Census Tract 5044.13; Santa Clara County; California,1963,155982,7.2,15.92,12,2,0,4,0.16666666666666666,1.0188487009679064,9.008300000000002
