tract_geoid,high_bp_pct,heart_disease_pct,smoking_pct,depression_pct,diabetes_pct,food_insecurity_pct,food_stamp_pct,high_cholesterol_pct,housing_insecurity_pct,lack_transport_pct,loneliness_pct,physical_inactivity_pct,mental_distress_pct,obesity_pct,stroke_pct,total_population
06085500100,21.8,3.1,8.7,19.4,8.4,15.1,11.2,28.5,13.8,8.2,40.5,22.4,15.7,25.0,1.8,7969
06085500200,23.3,3.5,11.2,21.2,8.5,17.4,14.6,28.3,15.3,9.6,41.3,23.8,17.6,26.9,2.0,5281
06085500300,24.4,3.7,8.5,20.5,8.8,11.5,9.2,30.4,11.3,6.9,37.2,19.7,15.2,26.4,2.0,4765
06085500400,25.6,4.0,7.5,20.2,8.8,9.3,7.0,32.0,9.5,5.8,36.5,18.3,14.4,25.2,2.2,2476
06085500500,31.2,5.6,8.4,20.3,11.3,9.8,8.2,36.4,9.0,6.0,35.1,20.9,13.9,25.7,3.0,5506
06085500600,24.6,3.9,8.5,21.1,8.3,11.2,9.1,30.6,10.5,6.7,38.2,19.2,15.4,24.8,2.1,5548
06085500800,23.3,3.5,8.5,20.4,8.1,12.1,9.9,28.6,11.4,7.2,38.6,19.7,15.5,25.2,1.9,4669
06085500901,26.1,4.6,11.8,22.2,10.3,21.5,20.4,28.8,16.3,12.4,41.9,26.7,19.0,27.1,2.6,4011
06085500902,15.1,2.0,11.0,30.9,4.5,35.5,34.0,16.6,23.7,23.2,52.1,29.1,29.8,27.0,1.2,4957
06085501000,28.3,5.3,12.7,21.3,12.1,23.1,19.9,32.0,18.7,12.2,42.2,29.8,18.3,29.3,3.0,5468
06085501101,26.4,4.3,8.9,19.5,10.4,13.3,10.6,32.2,11.9,7.5,38.7,23.1,15.2,24.8,2.4,4305
06085501102,26.3,4.4,10.3,20.0,10.9,17.6,13.1,32.3,15.8,9.2,40.7,26.5,16.3,27.8,2.5,4437
06085501200,27.6,4.8,11.0,20.7,11.7,19.5,16.0,32.2,17.0,10.3,40.4,27.8,17.1,29.3,2.7,4129
06085501300,27.8,5.1,11.1,23.2,10.8,17.4,15.8,31.5,14.0,10.3,40.4,24.7,18.5,28.1,2.8,3786
06085501401,27.3,4.7,12.4,20.8,12.2,24.5,19.9,31.8,21.5,12.2,42.3,31.3,18.1,31.3,2.7,3496
06085501402,27.3,4.9,12.8,21.2,12.1,24.8,20.3,32.0,21.2,12.4,42.5,31.6,18.4,30.8,2.8,2962
06085501501,24.7,3.9,9.8,18.1,11.3,20.2,14.4,31.4,17.3,10.1,42.4,28.3,16.1,26.1,2.3,4392
06085501502,26.3,4.6,12.5,20.3,11.9,25.2,20.6,31.4,20.4,12.6,43.0,31.3,18.0,29.0,2.6,4734
